序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
2384,000599,青岛双星,4.37,-0.46,-0.02,31794,13929994.0,1.37,4.42,4.36,4.42,4.39,1.56,0.39,-13.58,1.63
2385,600825,新华传媒,4.35,-0.46,-0.02,32058,13919366.0,1.83,4.39,4.31,4.37,4.37,1.23,0.31,66.34,1.79
2386,000759,中百集团,4.35,-0.46,-0.02,24657,10739590.0,1.14,4.38,4.33,4.36,4.37,0.97,0.38,127.59,1.07
2387,600501,航天晨光,12.98,-0.46,-0.06,17633,22796890.0,2.53,13.1,12.77,12.97,13.04,2.21,0.42,206.04,2.48
2388,603156,养元饮品,23.78,-0.46,-0.11,6420,15228417.0,1.63,23.95,23.56,23.82,23.89,1.63,0.05,16.51,2.94
2389,603331,百达精工,12.96,-0.46,-0.06,8632,11196640.0,2.38,13.13,12.82,13.03,13.02,2.45,0.43,19.08,2.13
2390,688287,观典防务,10.79,-0.46,-0.05,13807,14941398.0,2.49,10.96,10.69,10.85,10.84,2.43,0.37,32.12,3.77
2391,002162,悦心健康,4.31,-0.46,-0.02,28186,12217232.0,0.92,4.35,4.31,4.33,4.33,0.91,0.3,11.85,3.61
2392,000926,福星股份,4.3,-0.46,-0.02,37228,16127378.97,1.62,4.37,4.3,4.33,4.32,1.51,0.4,27.3,0.36
2393,600539,狮头股份,6.43,-0.46,-0.03,5887,3787152.0,1.24,6.47,6.39,6.46,6.46,0.85,0.26,-110.7,3.5
2394,301177,迪阿股份,32.11,-0.46,-0.15,2772,8935781.0,1.46,32.5,32.03,32.4,32.26,1.14,0.69,120.24,1.99
2395,000678,襄阳轴承,6.41,-0.47,-0.03,54342,35088742.0,2.33,6.53,6.38,6.47,6.44,1.39,1.18,-37.22,3.49
2396,603162,海通发展,17.09,-0.47,-0.08,10524,18062214.0,1.63,17.28,17.0,17.17,17.17,1.14,1.72,39.25,2.9
2397,000514,渝 开 发,4.27,-0.47,-0.02,41213,17685550.0,1.86,4.33,4.25,4.29,4.29,0.84,0.49,-393.01,0.99
2398,300692,中环环保,6.4,-0.47,-0.03,8072,5167713.2,0.93,6.43,6.37,6.41,6.43,1.42,0.22,17.55,1.28
2399,300468,四方精创,10.64,-0.47,-0.05,33950,36278985.4,1.4,10.76,10.61,10.69,10.69,1.45,0.64,79.65,3.53
2400,873527,夜光明,6.38,-0.47,-0.03,6,3810.0,0.94,6.38,6.32,6.32,6.41,0.12,0.0,16.95,1.03
2401,000793,华闻集团,2.12,-0.47,-0.01,48837,10409696.0,0.94,2.14,2.12,2.13,2.13,1.27,0.25,-30.28,2.13
2402,603609,禾丰股份,8.45,-0.47,-0.04,9213,7803115.0,1.3,8.53,8.42,8.49,8.49,1.07,0.1,-153.16,1.13
2403,002936,郑州银行,2.11,-0.47,-0.01,108937,23001923.49,0.47,2.12,2.11,2.11,2.12,1.59,0.16,4.69,0.45
2404,300923,研奥股份,23.17,-0.47,-0.11,2886,6649608.0,2.66,23.48,22.86,23.36,23.28,1.51,0.83,67.33,1.59
2405,838701,豪声电子,6.31,-0.47,-0.03,420,266012.62,2.68,6.44,6.27,6.44,6.34,0.57,0.21,17.82,1.16
2406,873001,纬达光电,6.3,-0.47,-0.03,28,17817.35,2.05,6.38,6.25,6.25,6.33,0.3,0.01,22.69,1.31
2407,605066,天正电气,8.39,-0.47,-0.04,8936,7499104.0,1.19,8.45,8.35,8.44,8.43,1.22,0.22,16.23,1.92
2408,000948,南天信息,16.71,-0.48,-0.08,36014,60680775.92,1.67,16.96,16.68,16.84,16.79,1.62,0.95,153.46,2.69
2409,301323,新莱福,39.68,-0.48,-0.19,4637,18484123.1,1.58,40.13,39.5,39.77,39.87,1.59,1.98,34.23,2.17
2410,300979,华利集团,50.03,-0.48,-0.24,3361,16895344.0,1.23,50.61,49.99,50.31,50.27,1.05,0.23,20.05,4.31
2411,002982,湘佳股份,20.84,-0.48,-0.1,2432,5090544.8,1.24,21.06,20.8,20.88,20.94,0.76,0.26,-17.8,1.85
2412,688573,信宇人,33.33,-0.48,-0.16,2625,8802660.0,2.54,33.95,33.1,33.6,33.49,1.28,1.34,-877.86,3.72
2413,002772,众兴菌业,8.33,-0.48,-0.04,20115,16862365.0,1.19,8.43,8.33,8.36,8.37,1.75,0.52,8.29,0.97
2414,002305,南国置业,2.08,-0.48,-0.01,117057,24374642.0,1.44,2.1,2.07,2.09,2.09,1.08,0.68,-2.66,2.41
2415,300906,日月明,24.94,-0.48,-0.12,4211,10489311.0,1.92,25.16,24.68,24.95,25.06,1.79,1.31,38.96,2.39
2416,002880,卫光生物,35.33,-0.48,-0.17,3974,14061599.0,1.75,35.78,35.16,35.4,35.5,1.48,0.18,39.66,4.13
2417,301331,恩威医药,43.6,-0.48,-0.21,6307,27622518.0,1.96,44.3,43.44,43.75,43.81,1.89,2.74,23.91,2.77
2418,600608,ST沪科,4.15,-0.48,-0.02,3733,1550660.0,0.96,4.18,4.14,4.17,4.17,2.04,0.12,2741.09,20.75
2419,002510,天汽模,4.15,-0.48,-0.02,152598,63434909.0,1.68,4.2,4.13,4.15,4.17,2.38,1.64,37.58,1.94
2420,000778,新兴铸管,4.15,-0.48,-0.02,85176,35359832.45,1.2,4.18,4.13,4.18,4.17,0.84,0.22,9.87,0.66
2421,605388,均瑶健康,12.36,-0.48,-0.06,5907,7324468.0,0.81,12.45,12.35,12.45,12.42,1.39,0.14,55.74,2.76
2422,600577,精达股份,4.12,-0.48,-0.02,83524,34520857.0,1.45,4.17,4.11,4.15,4.14,1.89,0.42,20.55,1.7
2423,605136,丽人丽妆,10.29,-0.48,-0.05,12192,12616220.0,1.26,10.41,10.28,10.32,10.34,1.95,0.3,-86.05,1.66
2424,002767,先锋电子,14.39,-0.48,-0.07,15981,23028097.0,1.24,14.49,14.31,14.46,14.46,1.36,1.23,59.51,2.63
2425,002551,尚荣医疗,4.11,-0.48,-0.02,49840,20629851.14,1.21,4.16,4.11,4.13,4.13,1.74,0.82,150.26,1.26
2426,002543,万和电气,8.22,-0.48,-0.04,26585,21844557.0,2.42,8.31,8.11,8.22,8.26,2.38,0.4,7.39,1.38
2427,002482,*ST广田,2.05,-0.49,-0.01,16719,3444420.0,1.46,2.08,2.05,2.05,2.06,0.84,0.11,-2.67,-0.58
2428,301215,中汽股份,6.14,-0.49,-0.03,35971,22131642.13,1.78,6.2,6.09,6.15,6.17,1.77,0.47,53.33,2.97
2429,601965,中国汽研,20.46,-0.49,-0.1,8068,16547906.0,2.29,20.84,20.37,20.6,20.56,1.22,0.08,29.97,3.41
2430,600782,新钢股份,4.09,-0.49,-0.02,137174,55896537.0,2.19,4.14,4.05,4.09,4.11,1.85,0.44,21.8,0.49
2431,688165,埃夫特-U,10.21,-0.49,-0.05,16529,16888712.0,2.92,10.42,10.12,10.25,10.26,1.72,0.32,-45.67,3.04
2432,603172,万丰股份,16.33,-0.49,-0.08,3067,5016075.0,1.83,16.54,16.24,16.41,16.41,1.28,0.94,42.39,2.14
2433,301228,实朴检测,18.37,-0.49,-0.09,7635,14129023.0,1.68,18.68,18.37,18.46,18.46,0.95,1.39,-24.35,2.54
2434,603697,有友食品,8.16,-0.49,-0.04,9387,7667267.0,1.83,8.25,8.1,8.2,8.2,1.43,0.22,21.72,1.94
2435,600220,江苏阳光,2.04,-0.49,-0.01,36975,7568225.0,0.98,2.06,2.04,2.05,2.05,0.61,0.21,206.72,1.74
2436,002656,ST摩登,2.04,-0.49,-0.01,17589,3564343.19,2.93,2.05,1.99,2.04,2.05,2.74,0.29,-18.57,3.08
2437,688819,天能股份,34.57,-0.49,-0.17,5187,18024199.0,1.7,35.08,34.49,35.06,34.74,1.68,0.4,15.38,2.37
2438,688591,泰凌微,32.52,-0.49,-0.16,21906,71919915.0,2.75,33.35,32.45,33.33,32.68,1.42,4.21,136.38,3.36
2439,301081,严牌股份,10.16,-0.49,-0.05,5197,5299246.0,2.15,10.33,10.11,10.33,10.21,1.06,0.62,33.0,2.21
2440,603103,横店影视,14.21,-0.49,-0.07,11896,16966762.0,1.89,14.37,14.1,14.33,14.28,0.91,0.19,39.93,7.0
2441,301081,严牌股份,10.16,-0.49,-0.05,5197,5299246.0,2.15,10.33,10.11,10.33,10.21,1.06,0.62,33.0,2.21
2442,603103,横店影视,14.21,-0.49,-0.07,11896,16966762.0,1.89,14.37,14.1,14.33,14.28,0.91,0.19,39.93,7.0
2443,600783,鲁信创投,12.18,-0.49,-0.06,8480,10348872.0,1.72,12.36,12.15,12.36,12.24,1.68,0.11,19.0,1.96
2444,300575,中旗股份,10.15,-0.49,-0.05,13241,13552613.5,2.25,10.33,10.1,10.19,10.2,2.31,0.38,13.7,2.2
2445,600529,山东药玻,28.36,-0.49,-0.14,14113,40196047.0,1.47,28.77,28.35,28.5,28.5,0.73,0.21,24.41,2.63
2446,601166,兴业银行,16.19,-0.49,-0.08,117300,190116495.0,0.86,16.3,16.16,16.28,16.27,1.32,0.06,3.94,0.5
2447,300482,万孚生物,26.22,-0.49,-0.13,26222,68823067.83,2.28,26.6,26.0,26.3,26.35,2.62,0.79,17.42,2.65
2448,600790,轻纺城,4.03,-0.49,-0.02,19964,8063268.0,1.23,4.07,4.02,4.06,4.05,1.53,0.14,14.49,0.99
2449,600769,祥龙电业,8.06,-0.49,-0.04,30457,24765650.0,2.72,8.23,8.01,8.08,8.1,2.65,0.81,226.65,35.7
2450,688501,青达环保,16.1,-0.49,-0.08,13895,22548021.0,2.29,16.39,16.02,16.28,16.18,1.5,1.7,76.83,2.47
2451,002275,桂林三金,16.1,-0.49,-0.08,13427,21848680.78,2.1,16.44,16.1,16.3,16.18,1.41,0.24,12.46,3.19
2452,601588,北辰实业,2.01,-0.5,-0.01,87228,17594457.0,1.98,2.04,2.0,2.03,2.02,1.81,0.33,353.6,0.53
2453,300079,数码视讯,6.03,-0.5,-0.03,171866,104363873.27,2.48,6.15,6.0,6.07,6.06,1.33,1.35,203.5,2.03
2454,300019,硅宝科技,16.08,-0.5,-0.08,9047,14571429.0,1.11,16.21,16.03,16.16,16.16,1.99,0.27,23.77,2.8
2455,300166,东方国信,12.03,-0.5,-0.06,442229,529328245.5,3.39,12.2,11.79,12.2,12.09,2.37,4.81,102.29,2.11
2456,603359,东珠生态,8.01,-0.5,-0.04,16259,13094274.0,1.61,8.11,7.98,8.08,8.05,1.63,0.36,88.61,0.98
2457,600764,中国海防,22.0,-0.5,-0.11,15109,33194327.0,1.72,22.18,21.8,22.04,22.11,2.63,0.21,86.63,2.03
2458,600666,ST瑞德,2.0,-0.5,-0.01,23386,4670987.0,1.99,2.02,1.98,2.02,2.01,1.74,0.1,-45.59,3.3
2459,300018,中元股份,5.99,-0.5,-0.03,20327,12174702.0,1.0,6.02,5.96,6.01,6.02,1.71,0.5,49.21,2.41
2460,300782,卓胜微,127.6,-0.5,-0.64,20360,259538409.72,1.88,128.41,126.0,128.0,128.24,1.57,0.46,92.91,7.57
2461,688257,新锐股份,25.91,-0.5,-0.13,3067,7943536.0,1.57,26.19,25.78,26.02,26.04,1.21,0.33,19.72,1.62
2462,000725,京东方Ａ,3.98,-0.5,-0.02,1302162,516104048.85,1.75,4.01,3.94,4.0,4.0,2.15,0.35,103.2,1.2
2463,300931,通用电梯,7.95,-0.5,-0.04,9540,7597473.0,1.75,8.05,7.91,8.04,7.99,1.31,0.9,114.6,2.72
2464,002857,三晖电气,17.87,-0.5,-0.09,2530,4521209.0,1.61,18.02,17.73,17.89,17.96,1.4,0.2,-236.29,4.38
2465,002210,飞马国际,1.98,-0.5,-0.01,36352,7194348.0,1.01,1.99,1.97,1.99,1.99,0.45,0.14,381.74,19.27
2466,600682,南京新百,7.91,-0.5,-0.04,13915,11045667.0,1.26,8.0,7.9,7.95,7.95,1.21,0.12,16.55,0.61
2467,300121,阳谷华泰,9.82,-0.51,-0.05,16043,15681186.2,1.62,9.86,9.7,9.84,9.87,1.5,0.41,9.49,1.36
2468,603899,晨光股份,35.17,-0.51,-0.18,5588,19659035.0,1.36,35.48,35.0,35.43,35.35,1.04,0.06,26.96,4.68
2469,000576,甘化科工,9.76,-0.51,-0.05,8118,7943111.0,1.33,9.86,9.73,9.81,9.81,1.68,0.19,59.18,2.4
2470,688585,上纬新材,7.8,-0.51,-0.04,3824,3000548.0,3.19,8.03,7.78,7.85,7.84,2.39,0.09,49.14,2.68
2471,000833,粤桂股份,5.85,-0.51,-0.03,5943,3487694.0,0.85,5.9,5.85,5.86,5.88,0.88,0.16,48.4,1.19
2472,833580,科创新材,3.89,-0.51,-0.02,397,154583.32,2.3,3.92,3.83,3.92,3.91,3.41,0.07,18.63,1.03
2473,000971,ST高升,1.94,-0.51,-0.01,28785,5570012.0,3.59,1.98,1.91,1.95,1.95,1.78,0.34,-99.46,6.77
2474,000679,大连友谊,5.82,-0.51,-0.03,68468,39563948.0,2.22,5.84,5.71,5.81,5.85,1.03,1.92,-185.7,5.7
2475,000090,天健集团,5.81,-0.51,-0.03,65048,37942978.12,2.05,5.9,5.78,5.84,5.84,1.16,0.35,5.82,1.0
2476,839273,一致魔芋,9.67,-0.51,-0.05,151,146338.65,0.82,9.74,9.66,9.74,9.72,1.17,0.06,9.66,1.29
2477,300599,雄塑科技,7.72,-0.52,-0.04,6078,4706010.0,1.42,7.81,7.7,7.77,7.76,1.36,0.29,62.92,1.23
2478,301156,美农生物,17.36,-0.52,-0.09,4502,7843931.8,1.78,17.57,17.26,17.45,17.45,1.37,0.96,38.74,2.56
2479,834261,一诺威,7.71,-0.52,-0.04,28,21431.8,0.13,7.71,7.7,7.7,7.75,0.09,0.0,19.31,1.45
2480,600309,万华化学,86.63,-0.52,-0.45,34686,301025126.0,1.44,87.45,86.2,87.0,87.08,1.89,0.11,16.06,3.23
2481,300452,山河药辅,15.31,-0.52,-0.08,18156,28021718.84,1.62,15.56,15.31,15.41,15.39,2.02,0.97,20.32,4.77
2482,002747,埃斯顿,21.05,-0.52,-0.11,31973,66960074.0,2.08,21.24,20.8,21.1,21.16,1.47,0.41,93.96,6.76
2483,002921,联诚精密,15.25,-0.52,-0.08,11708,17882870.0,1.63,15.41,15.16,15.32,15.33,1.4,1.06,-571.25,1.82
2484,600386,北巴传媒,3.81,-0.52,-0.02,22236,8503513.0,1.04,3.85,3.81,3.84,3.83,1.54,0.28,349.0,1.79
2485,600409,三友化工,5.69,-0.52,-0.03,35769,20366704.0,1.4,5.74,5.66,5.7,5.72,0.92,0.17,37.86,0.89
2486,300570,太辰光,39.66,-0.53,-0.21,89518,356583970.02,3.09,40.46,39.23,39.37,39.87,1.09,4.62,63.64,7.0
2487,000935,四川双马,15.09,-0.53,-0.08,8852,13429962.0,1.38,15.27,15.06,15.18,15.17,1.36,0.12,12.67,1.66
2488,301098,金埔园林,11.31,-0.53,-0.06,8063,9164438.0,1.14,11.43,11.3,11.38,11.37,1.69,0.75,19.77,1.57
2489,000959,首钢股份,3.76,-0.53,-0.02,64244,24287751.48,1.32,3.81,3.76,3.79,3.78,1.78,0.11,35.83,0.6
2490,300904,威力传动,75.14,-0.53,-0.4,9896,74317992.18,3.34,76.8,74.28,76.65,75.54,1.12,5.77,119.92,6.6
2491,688777,中控技术,43.12,-0.53,-0.23,17883,77581146.0,1.68,43.77,43.04,43.3,43.35,0.89,0.33,33.18,3.65
2492,300891,惠云钛业,9.37,-0.53,-0.05,5666,5312862.0,1.27,9.46,9.34,9.46,9.42,1.37,0.17,151.49,2.92
2493,600479,千金药业,11.24,-0.53,-0.06,42259,47873977.0,2.12,11.45,11.21,11.24,11.3,2.57,1.01,20.67,2.2
2494,300222,科大智能,7.49,-0.53,-0.04,26122,19492008.0,1.73,7.55,7.42,7.55,7.53,1.01,0.41,-128.03,3.29
2495,002007,华兰生物,22.46,-0.53,-0.12,31198,70010938.0,1.77,22.7,22.3,22.58,22.58,1.26,0.2,38.9,3.94
2496,002488,金固股份,7.48,-0.53,-0.04,28540,21314776.0,1.6,7.55,7.43,7.52,7.52,0.88,0.31,-334.13,1.85
2497,688459,哈铁科技,9.32,-0.53,-0.05,5943,5558386.0,1.28,9.43,9.31,9.37,9.37,0.96,0.51,2498.95,1.39
2498,603729,龙韵股份,14.91,-0.53,-0.08,5887,8736617.0,1.87,14.99,14.71,14.9,14.99,1.23,0.63,186.05,4.08
2499,603587,地素时尚,14.87,-0.54,-0.08,7892,11815888.0,1.67,15.1,14.85,14.95,14.95,1.99,0.17,11.57,2.0
2500,603529,爱玛科技,27.88,-0.54,-0.15,5845,16254743.0,1.11,28.03,27.72,27.88,28.03,0.76,0.26,13.43,3.61
2501,600749,西藏旅游,11.14,-0.54,-0.06,13683,15314365.0,1.52,11.25,11.08,11.2,11.2,1.39,0.6,425.08,2.52
2502,002582,好想你,7.41,-0.54,-0.04,14223,10580451.0,1.34,7.5,7.4,7.48,7.45,1.05,0.42,-91.7,0.8
2503,300855,图南股份,29.6,-0.54,-0.16,5808,17188375.52,2.72,30.09,29.28,30.0,29.76,0.88,0.2,32.76,7.0
2504,002663,普邦股份,1.85,-0.54,-0.01,57867,10736395.65,1.61,1.87,1.84,1.86,1.86,1.39,0.39,-74.14,1.11
2505,002631,德尔未来,5.55,-0.54,-0.03,14007,7811485.0,1.61,5.62,5.53,5.58,5.58,1.24,0.21,614.39,2.17
2506,002320,海峡股份,5.55,-0.54,-0.03,49568,27500083.5,1.97,5.61,5.5,5.58,5.58,2.43,0.22,22.22,3.0
2507,301448,开创电气,29.59,-0.54,-0.16,3968,11825256.0,2.49,30.14,29.4,29.65,29.75,1.39,1.98,44.06,3.7
2508,301223,中荣股份,18.45,-0.54,-0.1,2378,4397772.0,1.29,18.67,18.43,18.58,18.55,1.37,0.49,18.22,1.3
2509,000791,甘肃能源,5.53,-0.54,-0.03,29791,16525384.17,1.26,5.59,5.52,5.54,5.56,1.15,0.19,18.23,1.05
2510,601777,力帆科技,3.68,-0.54,-0.02,68612,25328394.0,1.89,3.72,3.65,3.69,3.7,1.83,0.3,209.37,1.64
2511,002470,金正大,1.84,-0.54,-0.01,59865,11021376.0,1.08,1.85,1.83,1.85,1.85,0.79,0.19,-19.96,2.15
2512,300779,惠城环保,47.8,-0.54,-0.26,7166,34070231.0,2.21,48.17,47.11,48.17,48.06,0.95,0.74,37.95,5.43
2513,603707,健友股份,12.86,-0.54,-0.07,30208,39146636.0,2.71,13.17,12.82,12.92,12.93,2.44,0.19,16.65,3.17
2514,601218,吉鑫科技,3.67,-0.54,-0.02,21981,8081496.0,1.63,3.71,3.65,3.7,3.69,1.49,0.23,33.54,1.27
2515,600908,无锡银行,5.5,-0.54,-0.03,47196,26007625.0,1.08,5.55,5.49,5.53,5.53,1.4,0.25,4.81,0.65
2516,000830,鲁西化工,11.0,-0.54,-0.06,31733,34962456.95,1.36,11.12,10.97,11.1,11.06,1.67,0.22,54.34,1.29
2517,002726,龙大美食,7.33,-0.54,-0.04,9834,7213925.6,0.95,7.38,7.31,7.36,7.37,0.88,0.09,-6.33,3.22
2518,600809,山西汾酒,229.0,-0.54,-1.25,15797,360563878.0,1.59,230.22,226.57,229.89,230.25,1.67,0.13,20.64,11.6
2519,300853,申昊科技,23.8,-0.54,-0.13,6022,14316210.0,2.13,24.15,23.64,24.0,23.93,1.4,0.57,71.17,2.93
2520,870436,大地电气,5.49,-0.54,-0.03,1,549.0,0.0,5.49,5.49,5.49,5.52,0.01,0.0,-39.95,1.2
2521,301223,中荣股份,18.45,-0.54,-0.1,2378,4397772.0,1.29,18.67,18.43,18.58,18.55,1.37,0.49,18.22,1.3
2522,000791,甘肃能源,5.53,-0.54,-0.03,29791,16525384.17,1.26,5.59,5.52,5.54,5.56,1.15,0.19,18.23,1.05
2523,601777,力帆科技,3.68,-0.54,-0.02,68614,25329130.0,1.89,3.72,3.65,3.69,3.7,1.83,0.3,209.37,1.64
2524,002470,金正大,1.84,-0.54,-0.01,59865,11021376.0,1.08,1.85,1.83,1.85,1.85,0.79,0.19,-19.96,2.15
2525,300779,惠城环保,47.8,-0.54,-0.26,7166,34070231.0,2.21,48.17,47.11,48.17,48.06,0.95,0.74,37.95,5.43
2526,601881,中国银河,11.02,-0.54,-0.06,156060,171065768.0,1.81,11.07,10.87,11.06,11.08,1.45,0.23,11.77,1.26
2527,601218,吉鑫科技,3.67,-0.54,-0.02,21981,8081496.0,1.63,3.71,3.65,3.7,3.69,1.49,0.23,33.54,1.27
2528,600908,无锡银行,5.5,-0.54,-0.03,47196,26007625.0,1.08,5.55,5.49,5.53,5.53,1.4,0.25,4.81,0.65
2529,000830,鲁西化工,11.0,-0.54,-0.06,31733,34962456.95,1.36,11.12,10.97,11.1,11.06,1.67,0.22,54.34,1.29
2530,002726,龙大美食,7.33,-0.54,-0.04,9834,7213925.6,0.95,7.38,7.31,7.36,7.37,0.88,0.09,-6.33,3.22
2531,600809,山西汾酒,229.0,-0.54,-1.25,15797,360563878.0,1.59,230.22,226.57,229.89,230.25,1.67,0.13,20.64,11.6
2532,300853,申昊科技,23.8,-0.54,-0.13,6022,14316210.0,2.13,24.15,23.64,24.0,23.93,1.4,0.57,71.17,2.93
2533,870436,大地电气,5.49,-0.54,-0.03,1,549.0,0.0,5.49,5.49,5.49,5.52,0.01,0.0,-39.95,1.2
2534,600120,浙江东方,3.66,-0.54,-0.02,55703,20437173.0,1.36,3.7,3.65,3.69,3.68,1.18,0.16,18.92,0.8
2535,600113,浙江东日,7.32,-0.54,-0.04,7955,5841475.0,1.36,7.41,7.31,7.41,7.36,0.89,0.19,27.23,1.39
2536,002991,甘源食品,63.96,-0.54,-0.35,2464,15718372.7,1.74,64.31,63.19,64.3,64.31,1.4,0.5,24.93,3.9
2537,301227,森鹰窗业,27.39,-0.54,-0.15,3438,9511075.0,2.07,27.92,27.35,27.6,27.54,1.8,1.02,30.1,1.5
2538,688789,宏华数科,102.17,-0.55,-0.56,3714,38462327.0,2.92,105.0,102.0,103.01,102.73,1.81,0.52,41.63,4.53
2539,600780,通宝能源,9.1,-0.55,-0.05,22124,20140650.0,1.64,9.18,9.03,9.15,9.15,1.96,0.19,13.17,1.48
2540,688221,前沿生物-U,10.91,-0.55,-0.06,13549,14870865.0,2.28,11.12,10.87,10.92,10.97,1.55,0.66,-11.81,2.73
2541,838163,方大新材,5.44,-0.55,-0.03,22,12002.2,0.55,5.47,5.44,5.47,5.47,0.69,0.0,16.26,1.65
2542,601199,江南水务,5.41,-0.55,-0.03,15727,8508009.0,1.29,5.46,5.39,5.44,5.44,0.97,0.17,18.41,1.43
2543,301110,青木股份,46.85,-0.55,-0.26,2933,13803187.32,1.68,47.54,46.75,47.31,47.11,1.07,0.81,37.81,2.22
2544,002743,富煌钢构,5.4,-0.55,-0.03,18392,9983756.0,1.1,5.46,5.4,5.42,5.43,0.95,0.42,23.33,0.75
2545,000030,富奥股份,5.4,-0.55,-0.03,37703,20406157.2,2.21,5.48,5.36,5.43,5.43,1.84,0.22,21.02,1.29
2546,603055,台华新材,10.79,-0.55,-0.06,9495,10307208.0,2.12,10.97,10.74,10.81,10.85,1.56,0.11,26.24,2.33
2547,601997,贵阳银行,5.39,-0.55,-0.03,81022,43746048.0,1.11,5.44,5.38,5.43,5.42,1.35,0.23,3.43,0.37
2548,300245,天玑科技,8.96,-0.55,-0.05,25717,23144173.0,1.89,9.08,8.91,9.03,9.01,1.38,0.83,-56.44,1.97
2549,603213,镇洋发展,10.75,-0.56,-0.06,3503,3772342.0,1.3,10.84,10.7,10.84,10.81,1.19,0.22,26.59,2.89
2550,301339,通行宝,21.48,-0.56,-0.12,14027,30287758.04,2.27,21.83,21.34,21.6,21.6,0.92,1.17,42.21,3.43
2551,871642,通易航天,7.15,-0.56,-0.04,451,322263.64,3.48,7.3,7.05,7.25,7.19,2.83,0.08,31.8,3.11
2552,600897,厦门空港,12.51,-0.56,-0.07,8574,10738202.0,1.27,12.63,12.47,12.6,12.58,1.63,0.21,15.67,1.32
2553,600827,百联股份,10.71,-0.56,-0.06,15354,16493940.0,1.02,10.81,10.7,10.8,10.77,0.92,0.1,29.16,1.07
2554,002448,中原内配,7.14,-0.56,-0.04,47918,34353079.0,1.67,7.23,7.11,7.21,7.18,1.5,1.01,11.42,1.3
2555,301008,宏昌科技,28.54,-0.56,-0.16,4127,11771538.0,3.14,28.99,28.09,28.62,28.7,1.66,1.67,35.57,2.22
2556,688671,碧兴物联,42.77,-0.56,-0.24,3486,14991721.0,2.56,43.8,42.7,43.12,43.01,1.11,2.1,70.24,2.94
2557,831832,科达自控,10.69,-0.56,-0.06,257,274072.82,0.37,10.7,10.66,10.7,10.75,2.54,0.04,33.43,1.3
2558,600928,西安银行,3.56,-0.56,-0.02,74535,26541105.0,0.84,3.58,3.55,3.57,3.58,1.19,0.22,5.94,0.53
2559,600004,白云机场,10.67,-0.56,-0.06,29504,31495872.0,1.4,10.78,10.63,10.74,10.73,0.81,0.12,79.9,1.46
2560,002589,瑞康医药,3.55,-0.56,-0.02,70094,25092495.0,1.96,3.62,3.55,3.57,3.57,1.58,0.6,87.09,0.97
2561,600928,西安银行,3.56,-0.56,-0.02,74535,26541105.0,0.84,3.58,3.55,3.57,3.58,1.19,0.22,5.94,0.53
2562,600004,白云机场,10.67,-0.56,-0.06,29504,31495872.0,1.4,10.78,10.63,10.74,10.73,0.81,0.12,79.9,1.46
2563,002589,瑞康医药,3.55,-0.56,-0.02,70094,25092495.0,1.96,3.62,3.55,3.57,3.57,1.58,0.6,87.09,0.97
2564,688231,隆达股份,23.07,-0.56,-0.13,2137,4929971.0,1.12,23.22,22.96,23.19,23.2,0.98,0.18,49.45,1.99
2565,301109,军信股份,15.97,-0.56,-0.09,4457,7138425.0,1.12,16.12,15.94,16.11,16.06,1.6,0.45,13.47,1.34
2566,301043,绿岛风,30.16,-0.56,-0.17,2425,7291710.0,1.85,30.37,29.81,30.33,30.33,1.41,1.35,23.63,2.64
2567,000561,烽火电子,8.86,-0.56,-0.05,25476,22605301.0,1.57,8.96,8.82,8.91,8.91,1.72,0.42,618.19,2.89
2568,300641,正丹股份,5.31,-0.56,-0.03,8809,4687287.8,1.31,5.36,5.29,5.36,5.34,1.35,0.18,50.72,1.74
2569,300333,兆日科技,7.08,-0.56,-0.04,30316,21578030.63,1.83,7.19,7.06,7.14,7.12,1.3,0.91,-33.36,3.56
2570,002550,千红制药,5.31,-0.56,-0.03,49197,26290825.0,1.69,5.4,5.31,5.34,5.34,1.8,0.53,28.55,2.85
2571,600863,内蒙华电,3.53,-0.56,-0.02,165419,58542659.0,1.41,3.57,3.52,3.54,3.55,1.12,0.25,7.78,1.65
2572,600487,亨通光电,14.09,-0.56,-0.08,108225,152117021.0,1.62,14.2,13.97,14.14,14.17,1.72,0.44,13.91,1.43
2573,600690,海尔智家,22.89,-0.56,-0.13,60589,139436330.0,1.61,23.22,22.85,23.12,23.02,1.66,0.1,12.05,2.23
2574,301053,远信工业,24.64,-0.56,-0.14,5713,14080607.0,2.14,25.03,24.5,25.03,24.78,0.97,2.46,93.69,3.48
2575,300642,透景生命,19.32,-0.57,-0.11,3926,7619800.0,2.16,19.68,19.26,19.44,19.43,1.26,0.29,45.5,2.14
2576,600323,瀚蓝环境,17.55,-0.57,-0.1,10590,18641401.0,1.08,17.7,17.51,17.68,17.65,1.01,0.13,10.37,1.26
2577,300267,尔康制药,3.49,-0.57,-0.02,110674,38818003.0,1.99,3.55,3.48,3.51,3.51,1.17,0.78,69.28,1.41
2578,002231,奥维通信,6.98,-0.57,-0.04,44056,30788555.0,1.71,7.05,6.93,7.02,7.02,1.61,1.49,101.99,6.69
2579,835368,连城数控,41.86,-0.57,-0.24,51,214496.32,1.26,42.39,41.86,41.9,42.1,0.23,0.0,21.01,2.9
