Title,20年IF,21年IF,即时IF,桑格预测IF,JCR分区,中科院分区,警告信息
HIGHER EDUCATION,4.634,3.947,2.45,>4.93,Q1,教育学-2区,
HIGH VOLTAGE,4.714,4.967,2.18,>6.21,Q1,工程技术-1区,
HIGH TEMPERATURES-HIGH PRESSURES,0.571,1.082,0.32,<0.81,Q4,工程技术-4区,
HIGH TEMPERATURE MATERIALS AND PROCESSES,0.826,1.121,0.75,>1.40,Q4,材料科学-4区,
HIGH TEMPERATURE MATERIAL PROCESSES,-,-,0.22,N/A,,,
HIGH TEMPERATURE MATERIAL PROCESSES,-,-,0.22,N/A,,,
HIGH TEMPERATURE,1.094,0.518,0.17,<0.39,Q4,物理与天体物理-4区,
HIGH PRESSURE RESEARCH,1.431,1.593,1.13,>1.99,Q3,物理与天体物理-4区,
HIGH POWER LASER SCIENCE AND ENGINEERING,3.992,5.943,2.68,6.42,Q1,物理与天体物理-2区,
HIGH PERFORMANCE POLYMERS,2.161,1.73,1.1,1.8,Q4,化学-4区,
HIGH ENERGY DENSITY PHYSICS,1.218,1.19,0.78,>1.49,Q4,物理与天体物理-4区,
HIGH ENERGY CHEMISTRY,0.762,0.842,0.32,<0.63,Q4,化学-4区,
HIGH BLOOD PRESSURE & CARDIOVASCULAR PREVENTION,-,-,1.68,N/A,,,
HIGH BLOOD PRESSURE & CARDIOVASCULAR PREVENTION,-,-,1.68,N/A,,,
HIGH ALTITUDE MEDICINE & BIOLOGY,1.981,2.183,1.06,>2.73,Q4,医学-4区,
HIGH ALTITUDE MEDICINE & BIOLOGY,1.981,2.183,1.06,>2.73,Q4,医学-4区,
HIGH ABILITY STUDIES,1.115,1.563,1.42,>1.95,Q4,教育学-4区,
HIGH ABILITY STUDIES,1.115,1.563,1.42,>1.95,Q4,教育学-4区,
HIDROBIOLOGICA,0.288,0.333,0.02,N/A,Q4,,
HEYTHROP JOURNAL,-,-,0.05,N/A,,,
HEYTHROP JOURNAL,-,-,0.05,N/A,,,
HETEROCYCLIC LETTERS,-,-,0.05,N/A,,,
HETEROCYCLIC LETTERS,-,-,0.05,N/A,,,
HETEROCYCLIC COMMUNICATIONS,1.12,2,1.37,>2.50,Q3,化学-4区,
HETEROCYCLES,0.831,0.689,0.33,0.56,Q4,化学-4区,
HETEROATOM CHEMISTRY,1.366,1.48,0.22,<1.11,Q4,化学-4区,
HESPERIS-TAMUDA,-,-,0.08,N/A,,,
HESPERIS-TAMUDA,-,-,0.08,N/A,,,
HESPERIA,-,-,0.32,N/A,,,
HESPERIA,-,-,0.32,N/A,,,
HERZOGIA,0.848,0.613,0.23,<0.46,Q4,生物学-4区,
HERZ,1.443,1.74,0.73,2.05,Q4,医学-4区,
HERPETOZOA,0.841,1.053,0.45,0.92,Q3,生物学-4区,
HERPETOLOGICAL MONOGRAPHS,1.857,2.909,1.43,>3.64,Q1,生物学-2区,
HERPETOLOGICAL JOURNAL,0.862,1.194,0.46,0.94,Q3,生物学-4区,
HERPETOLOGICAL CONSERVATION AND BIOLOGY,1.134,0.958,0.33,<0.72,Q3,生物学-4区,
HERPETOLOGICA,1.676,2.653,1.32,2.9,Q1,生物学-3区,
HEROIN ADDICTION AND RELATED CLINICAL PROBLEMS,0.955,1.239,0.43,1.13,Q4,医学-4区,
HEROIN ADDICTION AND RELATED CLINICAL PROBLEMS,0.955,1.239,0.43,1.13,Q4,医学-4区,
HERNIA,4.739,2.92,1.29,2.72,Q2,医学-2区,
HERMES-ZEITSCHRIFT FUR KLASSISCHE PHILOLOGIE,-,-,0.05,N/A,,,
HERMES-ZEITSCHRIFT FUR KLASSISCHE PHILOLOGIE,-,-,0.05,N/A,,,
H-ERMES-JOURNAL OF COMMUNICATION,-,-,0.03,N/A,,,
H-ERMES-JOURNAL OF COMMUNICATION,-,-,0.03,N/A,,,
HERMENEUS,-,-,N/A,N/A,,,
HERMENEUS,-,-,N/A,N/A,,,
HERMENEIA,-,-,0.02,N/A,,,
HERMENEIA,-,-,0.02,N/A,,,
HERITAGE SCIENCE,2.517,2.843,1.32,3,Q3,化学-3区,
HERITAGE AND SOCIETY,-,-,0.57,N/A,,,
HERITAGE AND SOCIETY,-,-,0.57,N/A,,,
HERITAGE,-,-,0.8,N/A,,,
HERITAGE,-,-,0.8,N/A,,,
HEREDITY,3.821,3.832,2.24,4.54,Q2,生物学-2区,
HEREDITAS,3.271,2.595,1.14,2.47,Q3,生物学-4区,
HEREDITARY CANCER IN CLINICAL PRACTICE,2.857,2.164,0.82,<1.62,Q4,医学-4区,
HERD-HEALTH ENVIRONMENTS RESEARCH & DESIGN JOURNAL,2.624,2.408,1.12,>3.01,Q3,医学-4区,
HERD-HEALTH ENVIRONMENTS RESEARCH & DESIGN JOURNAL,2.624,2.408,1.12,>3.01,Q3,医学-4区,
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,0.56,0.552,0.16,0.5,Q4,综合性期刊-4区,
HERALD OF AN ARCHIVIST,-,-,0.03,N/A,,,
HERALD OF AN ARCHIVIST,-,-,0.03,N/A,,,
HEPATOLOGY RESEARCH,4.288,4.942,2.38,3.94,Q2,医学-3区,
HEPATOLOGY INTERNATIONAL,6.047,9.029,3.14,9.94,Q1,医学-2区,
HEPATOLOGY COMMUNICATIONS,5.073,5.701,2.73,>7.13,Q2,医学-2区,
HEPATOLOGY,17.425,17.298,6.89,14.76,Q1,医学-1区,
HEPATOBILIARY SURGERY AND NUTRITION,7.293,8.265,2.83,>10.33,Q1,医学-1区,
HEPATOBILIARY & PANCREATIC DISEASES INTERNATIONAL,7.293,8.265,1.47,7.94,Q1,医学-3区,
HEPATITIS MONTHLY,0.66,1.214,0.28,<0.91,Q4,医学-4区,
HEPATIC ONCOLOGY,-,-,2.7,N/A,,,
HEPATIC MEDICINE-EVIDENCE AND RESEARCH,-,-,0.97,N/A,,,
HENRY JAMES REVIEW,-,-,0.02,N/A,,,
HEMOGLOBIN,0.849,0.822,0.54,>1.03,Q4,医学-4区,
HEMODIALYSIS INTERNATIONAL,1.812,1.543,0.66,1.24,Q4,医学-4区,
HEMIJSKA INDUSTRIJA,0.627,0.774,0.42,>0.97,Q4,工程技术-4区,
HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,3.722,2.861,1.24,2.68,Q4,医学-3区,
HEMATOLOGY-AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,3.061,2.697,1.5,>3.37,Q3,教育学-3区,
HEMATOLOGY TRANSFUSION AND CELL THERAPY,-,-,0.77,N/A,,,
HEMATOLOGY REPORTS,-,-,0.44,N/A,,,
HEMATOLOGY,2.269,2.264,0.98,2.01,Q4,医学-4区,
HEMATOLOGIE,-,-,0.01,N/A,,,
HEMATOLOGICAL ONCOLOGY,5.271,4.85,1.35,<3.64,Q2,医学-3区,
HEMASPHERE,-,-,2.14,N/A,Q1,,
HELVETICA CHIMICA ACTA,2.164,2.201,0.93,<1.65,Q3,化学-4区,
HELMINTHOLOGIA,1.184,1.176,0.45,0.91,Q4,生物学-4区,
HELLENIC JOURNAL OF NUCLEAR MEDICINE,1.102,1.146,0.67,>1.43,Q4,医学-4区,
HELLENIC JOURNAL OF CARDIOLOGY,-,5.795,1.52,<4.35,Q2,,
HELIYON,-,3.776,2.1,N/A,Q2,,
HELIYON,-,3.776,2.1,N/A,Q2,,
HELIOS,-,-,N/A,N/A,,,
HELICOBACTER,5.753,5.182,2.41,4.79,Q2,医学-2区,
HELGOLAND MARINE RESEARCH,1.241,2.217,0.91,>2.77,Q3,地球科学-4区,
HEGEL-STUDIEN,-,-,N/A,N/A,,,
HEC FORUM,1.087,1.2,0.93,>1.50,Q3,医学-4区,
HEBREW BIBLE AND ANCIENT ISRAEL,-,-,0.13,N/A,,,
HEAT TRANSFER-ASIAN RESEARCH,-,-,2.33,N/A,,,
HEAT TRANSFER RESEARCH,2.443,1.975,0.73,<1.48,Q3,工程技术-4区,
HEAT TRANSFER ENGINEERING,2.172,2.431,1.18,2.44,Q3,工程技术-4区,
HEAT TRANSFER,-,-,2.12,N/A,,,
HEAT AND MASS TRANSFER,2.464,2.325,1.17,2.24,Q3,工程技术-4区,
HEART VIEWS,-,-,0.2,N/A,,,
HEART SURGERY FORUM,0.676,0.699,0.28,0.76,Q4,医学-4区,
HEART RHYTHM,6.343,6.779,2.97,5.48,Q2,医学-1区,
HEART LUNG AND CIRCULATION,2.975,2.838,1.28,2.43,Q3,医学-4区,
HEART INTERNATIONAL,-,-,0.07,N/A,,,
HEART FAILURE REVIEWS,4.214,4.654,2.53,>5.82,Q2,医学-2区,
HEART FAILURE CLINICS,3.179,2.828,2.06,2.65,Q3,医学-4区,
HEART AND VESSELS,2.037,1.814,0.87,1.54,Q4,医学-4区,
HEART & LUNG,-,-,1.36,N/A,,医学-4区,
HEART,5.994,7.365,3.03,6.17,Q1,医学-1区,
HEARING RESEARCH,3.208,3.672,1.58,3.04,Q3,医学-1区,
HEARING BALANCE AND COMMUNICATION,-,-,0.33,N/A,,,
HEALTHCARE-THE JOURNAL OF DELIVERY SCIENCE AND INNOVATION,2.194,2.012,1.46,>2.52,Q4,,
HEALTHCARE TECHNOLOGY LETTERS,-,-,1.17,N/A,,,
HEALTHCARE INFORMATICS RESEARCH,-,-,1.26,N/A,,,
HEALTHCARE,2.645,3.16,1.36,>3.95,Q2,医学-4区,中科院-低-2021
HEALTH TECHNOLOGY ASSESSMENT,4.014,4.106,1.61,4.03,Q2,医学-2区,
HEALTH SYSTEMS & REFORM,3.391,6.378,1.83,6.06,Q1,医学-3区,
HEALTH SYSTEMS,-,-,1.17,N/A,,,
HEALTH SOCIOLOGY REVIEW,1.122,2.85,1.83,>3.56,Q2,医学-4区,
HEALTH SERVICES RESEARCH AND MANAGERIAL EPIDEMIOLOGY,-,-,0.67,N/A,,,
HEALTH SERVICES RESEARCH,3.402,3.734,1.5,3.96,Q2,医学-2区,
HEALTH SERVICES MANAGEMENT RESEARCH,-,-,1.25,N/A,,,
HEALTH SERVICES INSIGHTS,-,-,1.41,N/A,,,
HEALTH SERVICES AND OUTCOMES RESEARCH METHODOLOGY,-,-,0.68,N/A,,,
HEALTH SECURITY,1.81,3.074,1.46,>3.84,Q2,医学-4区,
HEALTH SCOPE,-,-,0.27,N/A,,,
HEALTH SCIENCE REPORTS,-,-,0.93,N/A,,,
HEALTH SCIENCE REPORTS,-,-,0.93,N/A,,,
HEALTH SA GESONDHEID,-,-,0.35,N/A,,,
HEALTH RISK & SOCIETY,1.756,2.659,1.09,>3.32,Q3,医学-4区,
HEALTH RESEARCH POLICY AND SYSTEMS,3.318,4.139,2.35,>5.17,Q1,医学-3区,
HEALTH REPORTS,4.796,6.094,2.76,6.64,Q1,医学-2区,
HEALTH PSYCHOLOGY REVIEW,7.182,9.638,4.55,>12.05,Q1,心理学-1区,
HEALTH PSYCHOLOGY RESEARCH,-,-,1.19,N/A,,,
HEALTH PSYCHOLOGY REPORT,-,-,1.23,N/A,,,
HEALTH PSYCHOLOGY OPEN,-,-,1.45,N/A,,,
HEALTH PSYCHOLOGY AND BEHAVIORAL MEDICINE,-,-,1.31,N/A,,,
HEALTH PSYCHOLOGY,4.267,5.556,2,5.57,Q1,心理学-2区,
HEALTH PROMOTION PRACTICE,-,-,0.9,N/A,,,
HEALTH PROMOTION PERSPECTIVES,-,-,2.22,N/A,,,
HEALTH PROMOTION JOURNAL OF AUSTRALIA,1.954,2.033,0.79,2.2,Q4,医学-4区,
HEALTH PROMOTION INTERNATIONAL,2.483,3.734,1.28,3.72,Q2,医学-4区,
HEALTH PROMOTION AND CHRONIC DISEASE PREVENTION IN CANADA-RESEARCH POLICY AND PRACTICE,3.24,2.725,1.4,3.14,Q3,医学-4区,
HEALTH PROBLEMS OF CIVILIZATION,-,-,0.16,N/A,,,
HEALTH POLICY AND TECHNOLOGY,1.931,5.211,2.81,>6.51,Q1,医学-4区,
HEALTH POLICY AND PLANNING,3.344,3.547,1.67,>4.43,Q2,医学-2区,
HEALTH POLICY,2.98,3.255,1.81,>4.07,Q2,医学-3区,
HEALTH PHYSICS,1.316,2.922,1.18,2.76,Q3,医学-4区,
HEALTH INFORMATION SCIENCE AND SYSTEMS,-,5.017,3.3,N/A,Q2,,
HEALTH INFORMATION MANAGEMENT JOURNAL,3.185,3.778,1.42,4.01,Q2,医学-4区,
HEALTH INFORMATION AND LIBRARIES JOURNAL,2.154,3.55,1.77,>4.44,Q2,管理学-4区,
HEALTH INFORMATICS JOURNAL,2.681,2.934,1.47,3.26,Q3,医学-4区,
HEALTH EXPECTATIONS,3.377,3.318,1.65,>4.15,Q3,医学-2区,
HEALTH EQUITY,-,-,1.32,N/A,,,
HEALTH EDUCATION RESEARCH,1.538,2.221,1.28,>2.78,Q3,医学-4区,
HEALTH EDUCATION JOURNAL,1.299,1.492,0.71,1.68,Q4,医学-4区,
HEALTH EDUCATION & BEHAVIOR,1.299,1.492,2.33,>1.86,Q4,医学-3区,
HEALTH EDUCATION,-,-,0.54,N/A,,,
HEALTH ECONOMICS REVIEW,2.306,2.118,1.16,>2.65,Q3,经济学-4区,
HEALTH ECONOMICS POLICY AND LAW,2.446,2.516,0.96,<1.89,Q3,医学-3区,
HEALTH ECONOMICS,3.046,2.395,1.09,2.95,Q3,医学-3区,
HEALTH COMMUNICATION,3.198,3.501,2.2,>4.38,Q2,医学-3区,
HEALTH CARE MANAGER,-,-,1.14,N/A,,,
HEALTH CARE MANAGEMENT SCIENCE,2.893,3.979,1.55,4.05,Q1,医学-2区,
HEALTH CARE MANAGEMENT REVIEW,3.328,3.097,1.69,2.98,Q2,医学-2区,
HEALTH CARE FOR WOMEN INTERNATIONAL,1.373,1.484,0.67,>1.85,Q4,医学-4区,
HEALTH CARE ANALYSIS,2.524,2.236,0.98,2.31,Q3,医学-2区,
HEALTH BEHAVIOR AND POLICY REVIEW,-,-,0.37,N/A,,,
HEALTH AND TECHNOLOGY,-,-,1.34,N/A,,,
HEALTH AND QUALITY OF LIFE OUTCOMES,3.186,3.077,1.88,>3.85,Q3,医学-3区,
HEALTH AND HUMAN RIGHTS,1.552,2.28,1.57,>2.85,Q3,医学-4区,
HEALTH AFFAIRS,6.301,9.048,5.48,>11.31,Q1,医学-1区,
HEALTH & SOCIAL WORK,-,-,0.88,N/A,,法学-4区,
HEALTH & SOCIAL CARE IN THE COMMUNITY,-,-,1.36,N/A,,医学-3区,
HEALTH & PLACE,-,-,2.49,N/A,,医学-2区,
HEALTH & JUSTICE,-,-,1.77,N/A,,,
HEALTH,2.279,3.132,0.9,2.35,Q2,医学-3区,
HEADACHE,5.887,5.311,3.04,6.14,Q1,医学-2区,
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,3.147,3.821,1.56,<2.87,Q1,医学-2区,
HEAD & NECK PATHOLOGY,2.151,2.246,1.19,N/A,Q3,,
HEAD & FACE MEDICINE,2.151,2.246,1.49,>2.81,Q3,医学-3区,
HE KUPU,-,-,N/A,N/A,,,
HAWWA,-,-,0.23,N/A,,,
HAUTARZT,0.889,1.198,0.4,0.99,Q4,医学-4区,
HAU-JOURNAL OF ETHNOGRAPHIC THEORY,1,0.797,0.2,0.79,Q4,法学-3区,
HASTINGS LAW JOURNAL,0.941,1.024,0.23,<0.77,Q3,法学-4区,
HASTINGS CENTER REPORT,2.683,4.298,1.63,3.63,Q2,人文科学-3区,
HASER-REVISTA INTERNACIONAL DE FILOSOFIA APLICADA,-,-,N/A,N/A,,,
HASELTONIA,0.815,1.6,0.76,>2.00,Q3,生物学-4区,
HASEKI TIP BULTENI-MEDICAL BULLETIN OF HASEKI,-,-,0.16,N/A,,,
HARVARD THEOLOGICAL REVIEW,-,-,0.1,N/A,,,
HARVARD REVIEW OF PSYCHIATRY,3.732,3.868,2.19,>4.83,Q3,医学-3区,
HARVARD LAW REVIEW,9.033,6.032,0.85,<4.52,Q1,法学-1区,
HARVARD JOURNAL OF LAW AND PUBLIC POLICY,0.887,0.667,0.28,<0.50,Q4,法学-4区,
HARVARD JOURNAL OF ASIATIC STUDIES,-,-,N/A,N/A,,,
HARVARD ENVIRONMENTAL LAW REVIEW,2.091,1.385,0.3,<1.04,Q4,法学-4区,
HARVARD EDUCATIONAL REVIEW,2.935,2.36,0.96,1.97,Q3,教育学-3区,
HARVARD BUSINESS REVIEW,6.87,12.129,1.13,>15.16,Q1,管理学-4区,
HAROLD PINTER REVIEW-ESSAYS ON CONTEMPORARY DRAMA,-,-,0.19,N/A,,,
HARMFUL ALGAE,4.273,5.905,3.42,>7.38,Q1,生物学-2区,
HARM REDUCTION JOURNAL,4.362,4.756,2.6,>5.95,Q1,法学-2区,
HARDWAREX,-,-,1.27,N/A,,,
HANDCHIRURGIE MIKROCHIRURGIE PLASTISCHE CHIRURGIE,1.018,0.985,0.37,<0.74,Q4,医学-4区,
HAND THERAPY,-,-,0.42,N/A,,,
HAND SURGERY & REHABILITATION,0.969,1.419,0.62,1.32,Q4,医学-4区,
HAND CLINICS,1.907,1.536,0.57,<1.15,Q4,医学-3区,
HAMOSTASEOLOGIE,1.778,2.145,1.68,2.54,Q4,医学-4区,
HALLAZGOS-REVISTA DE INVESTIGACIONES,-,-,0.02,N/A,,,
HAHR-HISPANIC AMERICAN HISTORICAL REVIEW,0.667,0.677,0.17,<0.51,Q2,人文科学-3区,
HAGUE JOURNAL ON THE RULE OF LAW,1.207,1.682,1.03,>2.10,Q2,法学-4区,
HAGUE JOURNAL OF DIPLOMACY,-,-,0.61,N/A,,,
HAGIOGRAPHICA,-,-,N/A,N/A,,,
HAEMOPHILIA,4.287,4.263,2.08,>5.33,Q2,医学-2区,
HAEMATOLOGICA,9.941,11.047,4.41,10.86,Q1,医学-1区,
HACIENDA PUBLICA ESPANOLA-REVIEW OF PUBLIC ECONOMICS,0.975,0.452,0.49,0.55,Q4,经济学-4区,
HACETTEPE UNIVERSITESI EGITIM FAKULTESI DERGISI-HACETTEPE UNIVERSITY JOURNAL OF EDUCATION,-,-,0.19,N/A,,,
HACETTEPE JOURNAL OF MATHEMATICS AND STATISTICS,0.929,0.867,0.41,0.82,Q4,数学-4区,
HABITAT Y SOCIEDAD,-,-,0.12,N/A,,,
HABITAT INTERNATIONAL,5.369,5.205,3.32,>6.51,Q2,经济学-2区,
H2OPEN JOURNAL,-,-,1.09,N/A,,,
GYNECOLOGY AND MINIMALLY INVASIVE THERAPY-GMIT,-,-,0.51,N/A,,,
GYNECOLOGIE OBSTETRIQUE FERTILITE & SENOLOGIE,1.06,1.058,0.43,<0.79,Q4,医学-4区,
GYNECOLOGICAL ENDOCRINOLOGY,2.26,2.277,1.02,2.12,Q4,医学-4区,
GYNECOLOGIC ONCOLOGY REPORTS,-,-,0.71,N/A,,,
GYNECOLOGIC ONCOLOGY,5.482,5.304,2.44,5.31,Q2,医学-2区,
GYNECOLOGIC AND OBSTETRIC INVESTIGATION,2.031,2.729,1.04,2.31,Q3,医学-4区,
GYNAKOLOGISCHE ENDOKRINOLOGIE,-,-,0.04,N/A,,,
GYNAKOLOGE,-,-,0.06,N/A,,,
GYMNASIUM,-,-,N/A,N/A,,,
GUT PATHOGENS,4.181,5.324,2.09,4.81,Q2,医学-3区,
GUT MICROBES,10.245,9.434,6.5,>11.79,Q1,医学-2区,
GUT AND LIVER,4.519,4.321,1.75,<3.24,Q2,医学-3区,
GUT,23.059,31.793,12.33,26.73,Q1,医学-1区,
GURUKUL BUSINESS REVIEW-GBR,-,-,0.19,N/A,,,
GUNCEL PEDIATRI-JOURNAL OF CURRENT PEDIATRICS,-,-,0.01,N/A,,,
GULF AND CARIBBEAN RESEARCH,-,-,0.36,N/A,,,
GUINIGUADA,-,-,0.03,N/A,,,
GUERRES MONDIALES ET CONFLITS CONTEMPORAINS,-,-,N/A,N/A,,,
GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,0.229,0.211,0.16,>0.26,Q4,心理学-4区,
GRUNDWASSER,0.575,1.15,0.33,0.95,Q4,环境科学与生态学-4区,
GROWTH HORMONE & IGF RESEARCH,2.372,2.125,0.84,1.61,Q4,医学-3区,
GROWTH FACTORS,2.511,2.394,0.91,2.4,Q4,生物学-4区,
GROWTH AND CHANGE,2.202,2.704,1.49,>3.38,Q3,经济学-3区,
GROUPS GEOMETRY AND DYNAMICS,0.66,0.541,0.26,0.52,Q4,数学-3区,
GROUP PROCESSES & INTERGROUP RELATIONS,3.129,2.708,2.5,>3.39,Q3,,
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,0.759,3.71,1.76,>4.64,Q2,心理学-4区,
GROUP DECISION AND NEGOTIATION,2.648,2.928,1.54,3.44,Q3,管理学-4区,
GROUP & ORGANIZATION MANAGEMENT,2.648,2.928,2.73,>3.66,Q3,管理学-3区,
GROUNDWATER FOR SUSTAINABLE DEVELOPMENT,-,-,3.16,N/A,,,
GROUNDWATER,2.671,2.887,1.16,2.57,Q3,地球科学-3区,
GROUNDED THEORY REVIEW,-,-,0.08,N/A,,,
GROUND WATER MONITORING AND REMEDIATION,2.019,1.87,1.02,2.22,Q4,环境科学与生态学-4区,
GROTIANA,-,-,0.06,N/A,,,
GRIPLA,-,-,0.1,N/A,,,
GRIOT-REVISTA DE FILOSOFIA,-,-,0.02,N/A,,,
GRIFFITH LAW REVIEW,-,-,0.6,N/A,,,
GREY SYSTEMS-THEORY AND APPLICATION,-,2.188,1.39,2.64,Q2,工程技术-3区,
GREY ROOM,-,-,0.15,N/A,,,
GREENHOUSE GASES-SCIENCE AND TECHNOLOGY,2.013,2.518,1.12,2.87,Q4,环境科学与生态学-4区,
GREEN PROCESSING AND SYNTHESIS,2.83,3.97,2.43,4.85,Q3,工程技术-4区,
GREEN MATERIALS,2.081,3.564,0.98,<2.67,Q4,材料科学-3区,
GREEN FINANCE,-,-,2.41,N/A,,,
GREEN FINANCE,-,-,2.41,N/A,,,
GREEN ENERGY & ENVIRONMENT,8.207,12.781,6.15,>15.98,Q1,工程技术-1区,
GREEN CHEMISTRY LETTERS AND REVIEWS,4.99,6.016,2.92,>7.52,Q2,化学-3区,
GREEN CHEMISTRY,10.182,11.034,5.43,11.82,Q1,化学-1区,
GREEK ROMAN AND BYZANTINE STUDIES,-,-,0.05,N/A,,,
GREECE & ROME,-,-,N/A,N/A,,,
GREAT PLAINS QUARTERLY,-,-,N/A,N/A,,,
GRAZER PHILOSOPHISCHE STUDIEN-INTERNATIONAL JOURNAL FOR ANALYTIC PHILOSOPHY,-,-,0.12,N/A,,,
GRAVITATION & COSMOLOGY,1.173,1.202,0.53,<0.90,Q4,物理与天体物理-4区,
GRASSLAND SCIENCE,1.65,1.44,0.54,1.22,Q3,农林科学-3区,
GRASS AND FORAGE SCIENCE,2.63,2.856,1.04,2.18,Q2,农林科学-2区,
GRASAS Y ACEITES,1.65,1.416,0.78,1.67,Q4,农林科学-4区,
GRAPHS AND COMBINATORICS,0.498,0.556,0.34,>0.70,Q4,数学-4区,
GRAPHICAL MODELS,1.169,1.094,0.62,1.17,Q4,计算机科学-4区,
GRANULAR MATTER,2.652,3.01,1.44,3.19,Q3,工程技术-3区,
GRANULAR COMPUTING,-,-,3.38,N/A,,,
GRANULAR COMPUTING,-,-,3.38,N/A,,,
GRANJA-REVISTA DE CIENCIAS DE LA VIDA,-,-,0.33,N/A,,,
GRANA,1.359,0.907,0.49,>1.13,Q4,生物学-4区,
GRAN TOUR,-,-,0.06,N/A,,,
GRAGOATA-UFF,-,-,0.02,N/A,,,
GRAFICA-JOURNAL OF GRAPHIC DESIGN,-,-,0.38,N/A,,,
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,3.117,3.535,1.36,3.36,Q2,医学-3区,
GRADIVA,-,-,N/A,N/A,,,
GRADEVNSKI MATERIJIALI I KONSTRUKCIJE-BUILDING MATERIALS AND STRUCTURES,-,-,0.16,N/A,,,
GRADEVINAR,0.908,0.992,0.5,1.21,Q4,工程技术-4区,
GPS SOLUTIONS,4.066,4.517,2.76,5.58,Q2,工程技术-1区,
GOYA,-,-,N/A,N/A,,,
GOVERNMENT INFORMATION QUARTERLY,6.695,8.49,4.2,10.24,Q1,管理学-2区,
GOVERNMENT AND OPPOSITION,3.322,3.508,1.6,3.25,Q1,法学-2区,
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,3.838,3.331,1.35,3.46,Q2,管理学-2区,
GOTHIC STUDIES,-,-,0.03,N/A,,,
GOSUDARSTVO RELIGIYA TSERKOV V ROSSII I ZA RUBEZHOM,-,-,0.08,N/A,,,
GOSPODARKA SUROWCAMI MINERALNYMI-MINERAL RESOURCES MANAGEMENT,0.838,0.938,0.53,0.86,Q4,工程技术-4区,
GOSPODARKA NARODOWA-THE POLISH JOURNAL OF ECONOMICS,-,-,0.05,N/A,,,
GORTERIA,0.278,0.333,N/A,N/A,Q4,生物学-4区,
GONDWANA RESEARCH,6.051,6.151,3.47,7.18,Q1,地球科学-1区,
GONDOLA-ENSENANZA Y APRENDIZAJE DE LAS CIENCIAS,-,-,0.06,N/A,,,
GOMAL JOURNAL OF MEDICAL SCIENCES,-,-,0.1,N/A,,,
GOLD BULLETIN,1.61,1.564,1.22,1.4,Q4,工程技术-4区,
GOETHE JAHRBUCH,-,-,N/A,N/A,,,
GMS JOURNAL FOR MEDICAL EDUCATION,-,-,0.86,N/A,,,
GMS INTERDISCIPLINARY PLASTIC AND RECONSTRUCTIVE SURGERY DGPW,-,-,0.29,N/A,,,
GMS HYGIENE AND INFECTION CONTROL,-,-,1.51,N/A,,,
GM CROPS & FOOD-BIOTECHNOLOGY IN AGRICULTURE AND THE FOOD CHAIN,3.074,3.118,2.05,>3.90,Q3,工程技术-3区,
GLYCOCONJUGATE JOURNAL,2.916,3.009,1.64,>3.76,Q3,生物学-4区,
GLYCOBIOLOGY,4.313,5.954,2.09,4.92,Q2,生物学-3区,
GLQ-A JOURNAL OF LESBIAN AND GAY STUDIES,0.597,0.816,0.17,0.66,Q4,法学-4区,
GLOTTOMETRICS,-,-,N/A,N/A,,,
GLOTTA-ZEITSCHRIFT FUR GRIECHISCHE UND LATEINISCHE SPRACHE,-,-,0.03,N/A,,,
GLOTTA-ZEITSCHRIFT FUR GRIECHISCHE UND LATEINISCHE SPRACHE,-,-,0.03,N/A,,,
GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,1.17,1.063,0.57,1.2,Q3,人文科学-3区,
GLOBALIZATIONS,2.155,2.407,1.27,2.72,Q2,法学-3区,
GLOBALIZATION AND HEALTH,4.185,10.401,5.93,>13.00,Q1,医学-2区,
GLOBALISATION SOCIETIES AND EDUCATION,-,-,1.31,N/A,,,
GLOBAL TRADE AND CUSTOMS JOURNAL,-,-,0.14,N/A,,,
GLOBAL STRATEGY JOURNAL,7.571,7.393,3.61,8.73,Q1,管理学-1区,
GLOBAL SPINE JOURNAL,2.915,2.23,1.15,>2.79,Q4,医学-3区,
GLOBAL SOCIETY,-,-,0.95,N/A,,,
GLOBAL SOCIAL WELFARE,-,-,0.86,N/A,,,
GLOBAL SOCIAL POLICY,-,-,0.85,N/A,,,
GLOBAL RESPONSIBILITY TO PROTECT,-,-,0.62,N/A,,,
GLOBAL QUALITATIVE NURSING RESEARCH,-,-,1.02,N/A,,,
GLOBAL PUBLIC HEALTH,2.396,3.356,1.63,>4.20,Q2,医学-3区,
GLOBAL POLICY,2.084,2.375,0.95,2.11,Q2,法学-4区,
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,2.927,1.968,1.33,>2.46,Q3,法学-2区,
GLOBAL NEST JOURNAL,1.042,1.134,0.53,>1.42,Q4,环境科学与生态学-4区,
