question,answers
What is the limitation in virus testing?, the long duration and the highly specialized skills required of the technicians to process the samples. 
What was the result of the treatment?,"Significantly shorted time from the disease onset to the symptom improvement in treatment (5.10 ± 2.83 days) compared to control group (7.62 ± 2.27 days) (p  0.05) No significant difference in blood routine improvement, pulmonary chest shadow in chest film improvement and corticosteroid usgae between the 2 groups. "
What  superiority did the treatment with integrative chinese and western medicine treatment have compared with using control treatment alone?,"in the respect of improving clinical symptoms, elevating quality of life, promoting immune function recovery, promoting absorption of pulmonary inflammation, reducing the dosage of cortisteroid and shortening the therapeutic course"
" What was a characteristic of  SARS-CoV and MERS-CoV, specimens collected from the lower respiratory tract such as sputum and tracheal aspirates?",have higher and more prolonged levels of viral RNA because of the tropism of the virus. 
How do severe cases compare with mild cases?,viral loads are also higher for severe cases and have longer viral shedding compared to mild cases
What is the disadvantage of upper respiratory tract specimens?,"hey have potentially lower viral loads and may have higher risk of false-negatives among the mild MERS and SARS cases [102, 103] , and likely among the 2019-nCoV cases.
"
What  are the existing practices in detecting  genetic material of viruses?,"(a) reverse transcription-polymerase chain reaction (RT-PCR), (b) real-time RT-PCR (rRT-PCR), (c) reverse transcription loop-mediated isothermal amplification (RT-LAMP) and (d) real-time RT-LAMP [104] . "
Why are Nucleic amplification tests (NAAT) usually preferred as in the case of MERS-CoV diagnosis?,it has the highest sensitivity at the earliest time point in the acute phase of infection 
Where  was the first validated diagnostic test designed?, in Germany
How were the assays selected ?,based on the match against 2019-nCoV upon inspection of the sequence alignment. 
How  were the assays used?,Two assays were used for the RNA dependent RNA polymerase (RdRP) gene and E gene where E gene assay acts as the first-line screening tool and RdRp gene assay as the confirmatory testing. 
What were the results?,All assays were highly sensitive and specific in that they did not cross-react with other coronavirus and also human clinical samples that contained respiratory viruses 
What did the trial on SAB-301 demonstrate?, to be safe and well-tolerated at single doses.
What are inovirus-associated vectors?,"engineered, non-lytic, filamentous bacteriophages"
How can random peptide libraries be used in applications?,"the identification of peptide ligands by receptors, the mapping of substrate sites for enzymes, and the creation of antibody peptide libraries"
What regulates the secretion of proinflammatory cytokines?,"Nod-like receptor family, pyrin domain-containing 3"
Where does the NLRP3 inflammasome activate after a SARS-CoV infection?,in lipopolysaccharide-primed macrophages
What ion channel is essential for 3a-mediated IL-1Beta secretion?,ion channel activity of the 3a protein
What are viroporins?,transmembrane pore-forming viral proteins
What is the genus of the SARS coronavirus?,Betacoronavirus
What is the family of the SARS coronavirus?,Coronaviridae
Is the SARS coronavirus enveloped?,enveloped
Is the SARS coronavirus single-stranded or double-stranded?,single-stranded
How many laboratory-confirmed cases of SARS coronavirus infections were reported between November 2002 and July 2003?,"At least 8,098"
What was the fatality rate of the SARS coronavirus outbreak between November 2002 and July 2003?,9.6%
What are examples of proinflammatory cytokines?,"tumor necrosis factor (TNF)-α, interleukin (IL)-1β, and IL-6"
How does NLRP3 detect RNA viral infection?,by sensing the cellular damage or distress induced by viroporins
How many amino acids are in the SARS-CoV E protein?,76 amino acids
What type of ion channels are formed by the SARS-CoV E protein?,Ca 2+ -permeable
What does the SARS-CoV protein activate?,NLRP3 inflammasome
What is critical to the development of a protective granuloma in tuberculosis infections?,tumor necrosis factor-α
What is tumor necrosis factor-alpha?,cytokines
What regulates the activity of MAPK activity?,MAPK phosphatase-1
What causes tuberculosis?,Mycobacterium tuberculosis
What percentage of the world has been infected by tuberculosis?,one third of the world's population
How many new tuberculosis cases are there each year worldwide?,9.2 million
What are some mitogen activated protein kinases?,"extracellular signal-regulated kinase 1 and 2 (ERK1/2), p38 MAPK, and c-Jun N-terminal kinase (JNK)"
How is MAPK activated?,phosphorylation
What enzymes are involved with phosphorylation?,"tyrosine phosphatases, serine/threonine phosphatases, and dual-specificity phosphatases (DUSPs)"
How many MAPK phosphatases exist?,at least 10
What is lipopolysaccharide?,a cell wall component of Gram-negative bacteria
What is Staph aureus?,Gram positive bacteria
What protein is in the critical path of immunity and cytokine expression?,MAPK
What diminishes the effectiveness of annual influenza vaccinations?,Constant evolution of circulating influenza virus strains and the emergence of new strains
what new  type of influenza vaccines are needed?,efficacious vaccines conferring cross-clade protection to avoid the need for biannual reformulation of seasonal influenza vaccines.
What alternatives to classical vectored vaccines are needed?,Recombinant virus-vectored vaccines
What is the advantage of virus vectored vaccine?,a vectored vaccine often enables delivery of the vaccine to sites of inductive immunity such as the respiratory tract 
What is the advantage of virus vectored vaccines?," virus vectors enable native expression of influenza antigens, even from virulent influenza viruses, while expressed in the context of the vector that can improve immunogenicity. "
What is one of the issues with present vaccines?," low efficacy in the populations at greatest risk of complications from influenza virus infection, i.e., the young and elderly"
What general types of vaccines are available?,"trivalent inactivated influenza vaccine (TIV), quadrivalent influenza vaccine (QIV), and live attenuated influenza vaccine (LAIV; in trivalent and quadrivalent forms)"
What inactivated vaccines are available?,"whole virus inactivated, split virus inactivated, and subunit vaccines."
How is the split virus inactivated?,the virus is disrupted by a detergent
How is the TIV administered?,intramuscularly 
What does the TIV contain?," three or four inactivated viruses, i.e., two type A strains (H1 and H3) and one or two type B strains. "
How is the TIV efficacy measured?,"humoral responses to the hemagglutinin (HA) protein,"
Which is the major surface and attachment glycoprotein on influenza virus?,"hemagglutinin (HA) protein,"
How is the serum antibody response measured?," by the hemagglutination-inhibition (HI) assay,"
What is a gold standard for correlation with immunity to influenza?,strain-specific HI titer 
What is the indication for protection to influenza?," a four-fold increase in titer post-vaccination, or a HI titer of ≥1:40 is considered protective "
What gives protection against clinical disease?,serum antibodies
What can give protection against clinical disease?,mucosal IgA antibodies also may contribute to resistance against infection
How is the LAIV administered?,nasal spray
What does the LAIV contain?,the same three or four influenza virus strains as inactivated vaccines but on an attenuated vaccine backbone 
Do LAIV replicate at body temperature?,they do not replicate effectively at core body temperature
What is a characteristic of LAIV?,LAIV are temperature-sensitive and cold-adapted 
Where do the LAIV replicate?,replicate in the mucosa of the nasopharynx
What does LAIV immunization do?,"LAIV immunization induces serum antibody responses, mucosal antibody responses (IgA), and T cell responses."
What do the inactivated vaccines rely on?,"specific antibody responses to the HA, and to a lesser extent NA proteins for protection."
What enables virus invasion from immunity?,"The immunodominant portions of the HA and NA molecules undergo a constant process of antigenic drift, a natural accumulation of mutations"
When does the vaccine strain selection occur in the northern hemisphere?,in February
What is the efficacy of LAIV?,it is generally considered to be as effective as inactivated vaccines and may be more efficacious in children 
What does LAIV rely on?,antigenic match
What is the LAIV replacement schedule?, the HA and NA antigens are replaced on the same schedule as the TIV
Why LAIV may provide broader broader  protection than TIV?,"due to the diversity of the immune response consistent with inducing virus-neutralizing serum and mucosal antibodies, as well as broadly reactive T cell responses"
What has raised the possibility of universal influenza vaccine?,improved understanding of immunity to conserved influenza virus antigens
What is the advantage of recombinant DNA systems?,allow ready manipulation and modification of the vector genome
What is the advantage of recombinant DNA system?,enables modification of the vectors to attenuate the virus or enhance immunogenicity
What is the advantage of recombinant DNA systems?,adding and manipulating the influenza virus antigens
What is the issue with each of these vaccines?,is either replication-defective or causes a self-limiting infection
What is a concern with these vaccines?," like LAIV, safety in immunocompromised individuals"
How many serotypes of adenovirus are there?,53 
Why adenovirus may be the safest vaccine vector?, A live adenovirus vaccine containing serotypes 4 and 7 has been in use by the military for decades
Which is the most studied serotype?,Adenovirus 5 (Ad5) 
Why is Ad5 is the most studied serotype? ,"having been tested for gene delivery and anti-cancer agents, as well as for infectious disease vaccines"
Why are adenovirus vectors most attractive?,their genome is very stable and there are a variety of recombinant systems available which can accommodate up to 10 kb of recombinant genetic material 
What is the advantage of  the adenovirus ?,"is a non-enveloped virus which is relatively stable and can be formulated for long-term storage at 4 °C, or even storage up to six months at room temperature "
What is the advantage of adenovirus vector?,"Adenovirus vaccines can be grown to high titers, exceeding 10 1° plaque forming units (PFU) per mL when cultured on 293 or PER.C6 cells "
What is the advantage of adenovirus?,the virus can be purified by simple methods 
What is the advantage of adenovirus vaccines?," Adenovirus vaccines can also be delivered via multiple routes, including intramuscular injection, subcutaneous injection, intradermal injection, oral delivery using a protective capsule, and by intranasal delivery."
What is the advantage of oral capsule and intranasal deliveries?,induce robust mucosal immune responses and may bypass preexisting vector immunity 
What  did the first report on adenovirus as a vector demonstrate?,"immunogenicity of recombinant adenovirus 5 (rAd5) expressing the HA of a swine influenza virus, A/Swine/Iowa/1999 (H3N2)"
Which rAd5 delivery has been tested?,A rAd5-HA expressing the HA from A/Puerto Rico/8/1934 (H1N1; PR8) was delivered to humans epicutaneously or intranasally 
What was the result of the rAd5-HA testing?,The vaccine was well tolerated and induced seroconversion with the intranasal administration had a higher conversion rate and higher geometric meant HI titers 
What is  the result of rAd5 trials?,"clinical trials with rAd vectors have overall been successful, demonstrating safety and some level of efficacy,"
What is an example of failure of rAd5?, a gene therapy examination where high-dose intravenous delivery of an Ad vector resulted in the death of an 18-year-old male
What was the failure of rAd5 vaccine for inducing HIV-1 specific T cell response?,the study was stopped after interim analysis suggested the vaccine did not achieve efficacy and individuals with high preexisting Ad5 antibody titers might have an increased risk of acquiring HIV-1 
What does immunization with adenovirus induce?,potent cellular and humoral immune responses that are initiated through toll-like receptor-dependent and independent pathways which induce robust pro-inflammatory cytokine responses
What is the advantage of inclusion of non-HA antigens to HA based vaccines?, to improve immunogenicity and broaden breadth of both humoral and cellular immunity
What is the disadvantage of inclusion of non-HA  antigens to HA based vaccines?,"as both CD8 + T cell and neutralizing antibody responses are generated by the vector and vaccine antigens, immunological memory to these components can reduce efficacy and limit repeated use "
What  was the first reported baculovirus vector based vaccine for influenza?, using Autographa californica nuclear polyhedrosis virus (AcNPV) expressing the HA of PR8 under control of the CAG promoter (AcCAG-HA) 
What is a drawback of Ad5 vector?,"preexisting immunity,"
What alternatives to Ad5 vector have been explored?,"adenovirus serotypes have been explored as vectors, particularly non-human and uncommon human serotypes"
What animal adenoviruses have been shown to induce immunity comparable to rdA5-HA?,"Swine, NHP and bovine adenoviruses expressing H5 HA antigens "
what can evade anti-Ad5 response and also provide effective antigen delivery and immunogenicity?," Low prevalence serotypes such as adenovirus types 3, 7, 11, and 35"
What additional strategies have been explored to avoid preexisting immunity?,"Prime-boost strategies, using DNA or protein immunization in conjunction with an adenovirus vaccine booster immunization"
What is the advantage of AAV vector?,"Like rAd vectors, rAAV have broad tropism infecting a variety of hosts, tissues, and proliferating and non-proliferating cell types "
What is the advantage of the AAV vector?, The wild type viruses are non-pathogenic and replication incompetent in humans and the recombinant AAV vector systems are even further attenuated 
What is the advantage of AAV vector?,"As members of the parvovirus family, AAVs are small non-enveloped viruses that are stable and amenable to long-term storage without a cold chain."
What is the advantage of AAV vector?,"While there is limited preexisting immunity, availability of non-human strains as vaccine candidates eliminates these concerns."
Has AAV been studied as  vectors for influenza?,There are limited studies 
What are alphaviruses?,"positive-sense, single-stranded RNA viruses of the Togaviridae family"
What are some alphavirus vectors that have been developed?,"Semliki Forest virus (SFV), Sindbis (SIN) virus, Venezuelan equine encephalitis (VEE) virus, as well as chimeric viruses incorporating portions of SIN and VEE viruses"
How do the alphavirus vectors work?," The replication defective vaccines or replicons do not encode viral structural proteins, having these portions of the genome replaces with transgenic material."
How do the alphavirus vectors work?,The structural proteins are provided in cell culture production systems.
What is an important feature of the replicon  system?,"the self-replicating nature of the RNA. Despite the partial viral genome, the RNAs are self-replicating and can express transgenes at very high levels"
How did the VEE based replicon system incorporating HA from PR8perform?,"demonstrated to induce potent HA-specific immune response and protected from challenge in a murine model, despite repeated immunization with the vector expressing a control antigen, suggesting preexisting immunity may not be an issue for the replicon vaccine"
Why is the VEE replicon system particularly appealing?,"the VEE targets antigen-presenting cells in the lymphatic tissues, priming rapid and robust immune responses"
What is the advantage of the VEE replicon system?,"VEE replicon systems can induce robust mucosal immune responses through intranasal or subcutaneous immunization [72] [73] [74] , and subcutaneous immunization with virus-like replicon particles (VRP) expressing HA-induced antigen-specific systemic IgG and fecal IgA antibodies "
What were the VRPs derived from VEE developed for?,as candidate vaccines for cytomegalovirus (CMV)
What did the clinical  trial with CMV VRP show?,"vaccine was immunogenic, inducing CMV-neutralizing antibody responses and potent T cell responses. Moreover, the vaccine was well tolerated and considered safe "
What did the clinical trial with VRP show?,"vaccine was safe and despite high vector-specific immunity after initial immunization, continued to boost transgene-specific immune responses upon boost "
"Which  baculovirus vaccine has been approved for 
 human use?",baculovirus-derived recombinant HA vaccine was approved for human use and was first available for use in the United States for the 2013-2014 influenza season
What  is the advantage of baculoviruses?,readily manipulated
What is the advantage of baculovirus vectors?,"The vectors can accommodate large gene insertions, show limited cytopathic effect in mammalian cells, and have been shown to infect and express genes of interest in a spectrum of mammalian cells"
How can baculovirus vectors be improved?,"While the insect promoters are not effective for mammalian gene expression, appropriate promoters can be cloned into the baculovirus vaccine vectors."
what baculovirus vector based immunization provided protection from lethal challenge?,only intranasal immunization
What was the benefit of the robust innate immune response to baculovirus vector?, non-specific protection from subsequent influenza virus infection
What is the Newcastle disease virus?,"a single-stranded, negative-sense RNA virus that causes disease in poultry. "
What are the appealing qualities of the NDV vector?,"As an avian virus, there is little or no preexisting immunity to NDV in humans and NDV propagates to high titers in both chicken eggs and cell culture. "
What is the appealing quality of the NDV vector?,"As a paramyxovirus, there is no DNA phase in the virus lifecycle reducing concerns of integration events, and the levels of gene expression are driven by the proximity to the leader sequence at the 3' end of the viral genome. This gradient of gene expression enables attenuation through rearrangement of the genome, or by insertion of transgenes within the genome."
What is the appealing quality of the NDV vector?,pathogenicity of NDV is largely determined by features of the fusion protein enabling ready attenuation of the vaccine vector
What did the first report on the NDV vector test conclude?,it induced a robust serum antibody response and protected against homologous influenza virus challenge in a murine model of infection 
What is the added protection of NDV vector?,providing protection against both the influenza virus and NDV infection.
What have the limited NDV human trails shown?,"the NDV vector is well-tolerated, even at high doses delivered intravenously "
What  are the attractive features of the PIV5 vector?," PIV5 has a stable RNA genome and no DNA phase in virus replication cycle reducing concerns of host genome integration or modification. PIV5 can be grown to very high titers in mammalian vaccine cell culture substrates and is not cytopathic allowing for extended culture and harvest of vaccine virus [98, 99] . Like NDV, PIV5 has a 3'-to 5' gradient of gene expression and insertion of transgenes at different locations in the genome can variably attenuate the virus and alter transgene expression [100] . PIV5 has broad tropism, infecting many cell types, tissues, and species without causing clinical disease, although PIV5 has been associated with -kennel cough‖ in dogs"
What  was the result of the test of efficacy of PIV5 in murine challenge?,"Mice intranasally vaccinated with a single dose of PIV5-H5 vaccine had robust serum and mucosal antibody responses, and were protected from lethal challenge. Notably, although cellular immune responses appeared to contribute to protection, serum antibody was sufficient for protection from challenge"
What opportunity has the termination of smallpox vaccination provided?,has resulted in a large population of poxvirus-naï ve individuals that provides the opportunity for the use of poxviruses as vectors without preexisting immunity concerns 
What vaccinia vectors were created to address safety concerns?,"The modified vaccinia virus Ankara (MVA) strain was attenuated by passage 530 times in chick embryo fibroblasts cultures. The second, New York vaccinia virus (NYVAC) was a plaque-purified clone of the Copenhagen vaccine strain rationally attenuated by deletion of 18 open reading frames"
How safe is MVA?,"MVA has undergone extensive safety testing and shown to be attenuated in severely immunocompromised animals and safe for use in children, adults, elderly, and immunocompromised persons. With extensive pre-clinical data, recombinant MVA vaccines expressing influenza antigens have been tested in clinical trials and been shown to be safe and immunogenic in humans "
What is the status of MVA influenza vaccine?,results combined with data from other (non-influenza) clinical and pre-clinical studies support MVA as a leading viral-vectored candidate vaccine.
What  is NYVAC?,The NYVAC vector is a highly attenuated vaccinia virus strain. NYVAC is replication-restricted
How is NYVAC grown?,"in chick embryo fibroblasts and Vero cells enabling vaccine-scale production. In non-permissive cells, critical late structural proteins are not produced stopping replication at the immature virion stage "
How safe is NYVAC?, NYVAC is very attenuated and considered safe for use in humans of all ages
What would limit the use of poxvirus vectored vaccines?,current influenza vaccination strategies rely upon regular immunization with vaccines matched to circulating strains
what is the advantage of the NYVAC as an influenza virus?,"immunization with this vector induces weaker vaccine-specific immune responses compared to other poxvirus vaccines, a feature that may address the concerns surrounding preexisting immunity "
Where is poxvirus vaccine being used?," licensed poxvirus for veterinary use that include fowlpox-and canarypox-vectored vaccines for avian and equine influenza viruses, respectively "
What have the studies on NP shown for the protection against influenza challege?," immunization with NP expressed by AAV, rAd5, alphavirus vectors, MVA, or other vector systems induces potent CD8 + T cell responses "
What is the goal of vaccine?,"protect against infection and disease, while inducing population-based immunity to reduce or eliminate virus transmission within the population"
What has enabled the development of one size fits all vaccine?," recent ability to probe the virus-host interface through RNA interference approaches that facilitate the identification of host genes affecting virus replication, immunity, and disease."
Why is a revision of current vaccines is needed?,"strategies for at-risk populations, particularly those at either end of the age spectrum"
What is an example of an improved vaccine regime?,"a vectored influenza virus vaccine that expresses the HA, NA and M and/or NP proteins for the two currently circulating influenza A subtypes and both influenza B strains so that vaccine take and vaccine antigen levels are not an issue in inducing protective immunity"
What can provide an improved vaccine regime?,Recombinant live-attenuated or replication-deficient influenza viruses
What features can be created for creating vectored vaccines?,"full-length influenza virus proteins, as well as generate conformationally restricted epitopes, features critical in generating appropriate humoral protection."
How can sustained immunity be generated?,"induce immunity at sites of inductive immunity to natural infection, in this case the respiratory tract"
What is the advantage of vectored vaccines?,"generate antigen for weeks after immunization, in contrast to subunit vaccination. This increased presence and level of vaccine antigen contributes to and helps sustain a durable memory immune response, even augmenting the selection of higher affinity antibody secreting cells"
What  is the enhanced memory immune response linked to?,intrinsic augmentation of immunity induced by the vector.
Which are the most abundant biological entities on Earth?,Viruses 
What contributed to a large part of mammalian genomic sequence?,Retroviruses 
What were the earliest replicating entities that fulfill several criteria for life?,ribozymes or viroids
What are some examples of autonomous bacteria that lost their independence and became intracellular  parasites or endosymbionts?,"mitochondria, chloroplasts, Rickettsia "
What entities with no genes satisfy the criteria for life?,"ribozymes, catalytic RNAs closely related to viroids"
Which group of RNA quasispecies satisfy criteria for life?," catalytically active members, enzymatically active ribozymes. The sequence space for 220-mer RNAs is about 3 × 10 132 ("
"How are the ribozymes able to replicate, join and create peptide bonds?"," They can polymerize progeny chemically, allow for mutations to occur and can evolve. One molecule serves as catalyst, the other one as substrate. Replication of ribozymes was demonstrated in the test tube (Lincoln and Joyce, 2009) . Ribozymes can form peptide bonds between amino acids (Zhang and Cech, 1997) . Thus, small peptides were available by ribozyme activity. "
Does RNA replication need polymerase enzymes?,Replication of RNA molecules can be performed chemically from RNA without polymerase enzymes.
How can DNA arise chemically from RNA?,"deoxyribozymes can form from ribonucleotides (Wilson and Szostak, 1999) . Thus, DNA can arise from RNA chemically, without the key protein enzyme, the reverse transcriptase."
What do ribozymes consist of?,circular single-stranded RNAs
What do ribozymes lack?,the genetic triplet code and do not encode proteins
What do ribozymes exhibit?,"structural information by hairpin-loops that form hydrogen bonds between incomplete double strands, and loops free to interact with other molecules."
What is CHIKV marked by?,"severe joint pain, contorting its victims into unusual postures "
What does Chikungunya cause?," fever disease, headache, rash, nausea, vomiting, myalgia, and arthralgia"
What is Chikungunya virus?,a mosquito-borne emerging pathogen
Is there a treatment?,"Currently, there is no vaccine or antiviral treatmen"
What conclusion is drawn in this report?,"With the threat of an emerging global pandemic, the peculiar problems associated with the more immediate and seasonal epidemics warrant the development of an effective vaccine."
What is Chikungunya virus?,a mosquito-borne pathogen listed by National Institute of Allergy and Infectious Diseases (NIAID) as a Category C Priority Pathogen that causes Chikungunya fever (CHIKF)
What is CHIKV?,an arthropod-borne virus (arbovirus
How is CHIKV propagated to  humans?,"primarily by Aedes aegypti, the infamous yellow fever propagator"
From what  language the disease gets its name?,Kimakonde vernacular language of Tanzania and Mozambique
What is the word Chikungunya mean?,'that which contorts or bends up'
What  does Chikungunya mean in Swahili?,the illness of the bended walker
How is CHIKV maintained in Africa?," in a sylvatic cycle among forest-dwelling Aedes spp. mosquitoes, wild primates, squirrels, birds, and rodents"
"What is it vectored by, in Asia?", Ae. aegypti and Ae. albopictus
How does the transmission in Asia occur?,"in an urban cycle whereby the mosquito spreads the disease from an infected human to an uninfected human, following an epidemiological pattern similar to dengue fever"
What spurred  the discovery of the new vector Ae. albopictus?,"The 2005-2006 epidemic of CHIKV in La Reunion islands in the Indian Ocean,"
In the epidemic  peak how many cases per week were there on the island?,"46,000"
What does this review detail?,the epidemiology and global expansion of CHIKV
What  dose this review describe?," its clinical features and pathogenesis and its symptoms and complications, and finally nominates a possible vaccine approach against CHIKV infection."
How many genotypes of CHIKV have been isilated?, three genotypes based on phylogenetic studies.
What are the  genotypes based on?,"the gene sequences of an Envelope protein (E1), are Asian, East/Central/ South African, and West African"
hen did Asian genotype emerge?,"between 50 and 310 y ago,"
When didthe Asian genotype diverge from African genotype?, between 100 and 840 y ago
What is the status of Asian CHIKV since its emergence?,"has come a long way, with several mutations incorporated, and has continued to wreak epidemics in several regions"
What are the recent activities of CHIKV?," the Indian epidemic in 2005-2006, which was followed by a sudden explosion of cases in 2007. An estimated 1.3 million people across 13 states were reported to be infected in India [12, 16] , and CHIKV was also widespread in Malaysia, Sri Lanka, and Indonesia [17] . In July-August of 2007, CHIKV was reported in Italy, probably brought in by travelers from CHIKV-prone regions of India, Africa, and Indian Ocean islands such as Mauritius, Madagascar, and Seychelles."
How was the Italian isolation found to have evolved from?,"from the Kerala isolate, which was associated with a A226V shift in E1 gene that represents a successful evolutionary adaptation in the mosquito vector similar to the ones observed in Reunion Island ["
How many days is the incubation period?,2-6 d
In how many days do the symptoms arise?,4-7 
What are exhibited in the two phases?,"The first stage is acute, while the second stage, experienced by most but not all, is persistent, causing disabling polyarthritis. Characteristics of the acute phase include an abrupt onset of fever, arthralgia, and in some cases, maculopapular rash [6, 23] . The acute phase causes such intense joint and muscular pain that makes movement very difficult and prostrates its victims ["
What are consequences of infection?,"Ninety-five percent of infected adults are symptomatic after infection, and of these, most become disabled for weeks to months as a result of decreased dexterity, loss of mobility, and delayed reaction."
What percentage of the patients still have the CHIKV IgM after eighteen months?,The chronic stage of CHIKF is characterized by
What is te chronic stage characterized by?, by polyarthralgia that can last from weeks to years beyond the acute stage
What is affected by CHIKV?,fibroblasts
What explains the pain associated with CHIKV?, The high number of nociceptive nerve endings found within the joints and muscle connective tissues
What percentage of people suffering from the CHIKF are over 65 years old?,50%
What percentage die?,33% 
What other group is disproportionately affected?,children
What complications are associated with CHIKV?,"from most common to least common, include respiratory failure, cardiovascular decompensation, meningoencephalitis, severe acute hepatitis, severe cutaneous effects, other central nervous system problems, and kidney failure"
What happens after  host infection?,"CHIKV undertakes a complex replication cycle upon host infection (Figure 2 ), which makes its genome susceptible to mutations "
"What did the Ae.Aegypti which is responsible for epidemics in Kenya, Comoros and Seychelles carry?",CHIKV with an alanine in the 226 position of the E1 gene (E1-A226)
"what was the result of the decline in population of Ae. Aegyptus  when the virus struck the Reunion Islands, due to massive use dichlorodiphenyltrichloroethane usage?"," in an ecological pressure, favoring replacement of alanine at position 226 with valine (E1-A226V) "
What did this mutation allow?,"CHIKV's secondary vector species, Ae. albopictus, to supplement Ae. aegypti as its primary vector"
What vectored the large epidemic in La Reunion Islands?, Ae. albopictus
What percentage of population was affected?,34% 
Where were  the CHIKV strain found?,"All of the CHIKV strains isolated from Mayotte carried the E1-A226V mutation, and the mutation was also found in Madagascar in 2007 ["
What is the finding on E1-A226V in Indian Ocean?,"mutation was not present at the beginning of the Indian Ocean Islands outbreak (before September 2005). However, more than 90% of later viral strains found there had incorporated the mutation (December-March 2006), indicating a genotype switch during the winter season"
What has the E1-A226V enabled?,an increase in infectivity of Ae. albopictus when compared to its infectivity of Ae. aegypti 
What has become the preferred and lethal vector?,Ae. albopictus
What was the finding on the Green Fluorescent tagged E1-A226V?, E1-A226V virus was 100 times more infective to Ae. albopictus than it was to Ae. aegypti
What became the main vector in the Indian Ocean within 1-2 y after CHIKV was introduced?,Ae. albopictus
how long Ae. aegypti been established in North America?,for over 300 
What is the presence of Ae.albopictus in North America?,"has been in many areas of the US, since 1985, primarily in Florida [32] and since then has expanded its range in the country."
What percentage of newborns were infected from their mother?,50%
What has been some instances of mother to  fetus transmission?,congenital illness and fetal death
What  did the studies reveal regarding transmission from mothers during perinatal period?,"During the 2005-2006 La Reunion Island outbreaks, Ramful et al. discovered that mothers could transmit CHIKV to their progeny during the perinatal period (Day 24 to Day +1) [33, 34] , and it is associated with a high degree of morbidity. By mean Day 4 of life, all of the neonates were symptomatic for CHIKV, exhibiting common CHIKF symptoms."
What is theorized regarding transmission?,motherto-child transmission most likely happens transplacentally shortly before delivery
What did the study report?,neonatal infection associated with intrapartum maternal viremia that progressed to develop encephalitis owing to vertical transmission from infected mothers 
What is a conclusion of this report?, DNA vaccines could play a major role in combating CHIKV
What is a conclusion of this report?,Vaccines are literally a critical component of CHIKV disease control and therefore research in this area is highly encouraged. 
What is the NIAID designation of CHIKV?,as a Category C pathogen alongside the influenza and SARS-CoV viruses 
What are the strengths and advantages of DNA based vaccine?, its ability to induce cross-reactive immune responses against the three distinct phylogenetic groups of CHIKV. Also DNA-based vaccines can be produced more rapidly than protein-based vaccines.
What age group has the highest rate of severe outcomes?,people 85 years and older
How is COVID-19 spread?,person-to-person
How many states in the U.S. have reported cases of COVID-19?,50
"When did the White House launch the ""15 Days to Slow the Spread"" program?",March 16
What should mildly-ill patients do?,isolate at home during their illness
What type of virus is SARS-CoV-2?,betacoronavirus
What viruses are similar to the COVID-19 coronavirus?,MERS-CoV and SARS-CoV.
What are the phases of a pandemic?,"investigation phase, followed by recognition, initiation, and acceleration phases"
At which phase does the peak of the pandemic occur?,at the end of the acceleration phase
People with which medical conditions have a higher rate of severe illness?,"People who have serious chronic medical conditions like:
Heart disease
Diabetes
Lung disease"
What kind of test can diagnose COVID-19?,rRT-PCR test
In what species did the COVID-19 virus likely originate?,bats
What risk factors should be considered in addition to clinical symptoms?,"Does the patient have recent travel from an affected area?
Has the patient been in close contact with someone with COVID-19 or with patients with pneumonia of unknown cause?
Does the patient reside in an area where there has been community spread of COVID-19?"
What is needed to elucidate zoonotic emergence?,"A mechanistic understanding of the impact of bats’ virus hosting capacities, including uniquely constitutive immune pathways, on cellular-scale viral dynamics"
What is the conclusion of  this report?," heightened immune responses limit pathogen-induced cellular morbidity, which can facilitate the establishment of rapidly-propagating persistent infections within-host. Rapidly-transmitting viruses that have evolved with bat immune systems will likely cause enhanced virulence following emergence into secondary hosts with immune systems that diverge from those unique to bats."
Why  have bats received attention in recent years?,"for their role as reservoir hosts for emerging viral zoonoses, including rabies and related lyssaviruses, Hendra and Nipah henipaviruses, Ebola and Marburg filoviruses, and SARS coronavirus "
What difference bats demonstrate compared to most non-Chiropteran mammals?,"no obvious disease symptoms upon infection with pathogens that are highly virulent in non-volant mammals (Schountz et al., 2017) but may, instead, support viruses as longterm persistent infections, rather than transient, immunizing pathologies"
What suite of species-specific mechanisms do bats have to limit viral load?,"host receptor sequence incompatibilities for some bat-virus combinations (Ng et al., 2015; Takadate et al., 2020) and constitutive expression of the antiviral cytokine"
How are mammalian cells typically rendered antiviral?," the presence of viral RNA or DNA in the cytoplasm of mammalian cells will induce secretion of type I interferon proteins (IFN-a and IFN-b), which promote expression and translation of interferon-stimulated genes (ISGs) in neighboring cells "
"In non-flying mammals, what what would be elicited by IFN expression upon viral infection?",widespread inflammation and concomitant immunopathology upon viral infection
What do the bats do instead?,bats support unique adaptations to combat inflammation
Why may the bats have this unique adaptation?,to mitigate metabolic damage induced during flight
Why  was the field of virus dynamics developed?,"to describe the mechanistic underpinnings of long-term patterns of steady-state viral load exhibited by patients in chronic phase infections with HIV, who appeared to produce and clear virus at equivalent rates "
How are bats connected to fatal viral diseases?,"bats are natural reservoirs for viruses that have some of the highest fatality rates of any viruses that people acquire from wild animals -including rabies, Ebola and the SARS coronavirus."
What is  an example of anti-viral defense in bats?,some bats have an antiviral immune response called the interferon pathway perpetually switched on
What would be caused by  this hyper-vigilance in most other mammals?, harmful inflammation
