编号,持续时间,数量,内容
1,2022/5/29 13:47-2022/5/29 13:58,6,images\[01415]2022-05-29 13-47-33 [点击播放语音]   还要感谢我们的楼组长和502的志愿者 images\[01416]2022-05-29 13-56-18   谢谢魏老师[玫瑰]你做的很好[强]   [转发的网页]
1,2022/5/29 14:34-2022/5/29 14:34,1,  疫情期间，能收到高品质的味全牛奶，很开心哟！谢谢俩位美女团长，你们辛苦了！[玫瑰][玫瑰][玫瑰]
1,2022/5/29 15:29-2022/5/29 15:47,15,images\[01417]2022-05-29 15-29-40 images\[01418]2022-05-29 15-29-42 images\[01419]2022-05-29 15-29-44 images\[01420]2022-05-29 15-29-46   这几张照片是我刚刚拍的   大家介意我们发给味全公司嘛？   介意的话就不发啦   好的，我没问题   [呲牙]      [爱心][爱心]         好的，没事[OK]   @503  都夸奖你们把儿子养的很好[强]
1,2022/5/29 16:18-2022/5/29 16:20,2,  [微笑]我平时也很随意的，没有特别注意，可能是我妈从小底子打的好。   [玫瑰][强]
1,2022/5/29 18:16-2022/5/29 18:29,4,images\[01421]2022-05-29 18-16-45   [强][强][强]   [转发的网页]   
1,2022/5/29 18:46-2022/5/29 18:56,3,images\[01422]2022-05-29 18-46-35   面包还有10分钟到   @203?到啦
1,2022/5/29 21:31-2022/5/29 21:42,8,"images\[01423]2022-05-29 21-31-20   收到谢谢   0k[抱拳]   各位邻居:
 明天做核酸时间预定为8点15分。
  具体时间还是以医护人员来为准[握手]
  谢谢大家[握手]   
收到谢谢??    收到谢谢您   好的   好的"
1,2022/5/30 5:45-2022/5/30 5:45,1,images\[01424]2022-05-30 05-45-11
1,2022/5/30 6:10-2022/5/30 6:48,8,images\[01425]2022-05-30 06-10-48 images\[01426]2022-05-30 06-18-19 images\[01427]2022-05-30 06-19-14 images\[01428]2022-05-30 06-28-33 images\[01429]2022-05-30 06-30-22 images\[01430]2022-05-30 06-38-10 images\[01431]2022-05-30 06-43-27 images\[01432]2022-05-30 06-48-47
1,2022/5/30 7:03-2022/5/30 7:03,1,images\[01433]2022-05-30 07-03-26
1,2022/5/30 7:24-2022/5/30 7:28,2,images\[01434]2022-05-30 07-24-46 images\[01435]2022-05-30 07-28-46
1,2022/5/30 8:07-2022/5/30 8:18,3,images\[01436]2022-05-30 08-07-44 images\[01437]2022-05-30 08-14-59 [点击播放语音]
1,2022/5/30 11:57-2022/5/30 12:10,7,"  各位305弄的居民们大家好，如果6月1日我们小区顺利解封的话，那么今日的蔬菜团购应该是我们的最后一次团购啦～??（因此之前公帐结余费用，将用来补贴此次团购）

难以想象，从4月15日至今，我们305弄志愿者团队总共发起了57次团购，处理6443笔订单，派发7826份团购物资。????

在此，我想替所有305弄的居民感谢这段时间每一位闪闪发光的志愿者，这场将近两个月的“战役”，你们辛苦了?? 

同样，我也想替志愿者们对每一位配合防疫工作的居民说一声感谢，大家的信任与理解就是对我们最大的支持????

希望今天大家都不要吝啬这一句“谢谢”，今后也能把这一份爱心传递下去～??


仅限305弄居民购买??其他地址不配送

仅限305弄居民购买??其他地址不配送

仅限305弄居民购买??其他地址不配送


团购一：
团购内容：本地蔬菜8+1斤套餐
西兰花（约1.5斤）
番茄（约1.5斤）
半个小冬瓜（约1.8斤）
土豆（约1.5斤）
韭菜（约0.7斤）
菠菜（约0.7斤）
空心菜（约0.7斤）
赠送：小葱一小把
??蔬菜基地额外爱心捐赠1斤随机蔬菜??
团购金额：29元

团购二：
团购内容：葱、姜、蒜、线椒共1斤（每种约125g）
团购金额：6元


团购时间：5月30日12:00-17:00
起送份数：100份
配送时间：预计6月2日

??注意：

1.链接内图片非本次团购套餐，每种蔬菜的重量也并非那么准确，但会保证总重量足够～介意慎拍??

2.套餐内蔬菜可能会根据当天基地情况略有调整，望大家理解。   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]   团长: 你的话听了有种酸酸的感觉[大哭]
  在此也不知用什么语言来表达[玫瑰][大哭]
  总之，有你们一群有责任的年轻人真好[玫瑰][握手]是我们的福分[握手][强]
  再次感谢你们年轻人[玫瑰][合十][拥抱][庆祝][烟花][爆竹]   [转发的网页]"
1,2022/5/30 12:22-2022/5/30 12:24,3,  [转发的网页]   我们楼所有的邻居都太棒啦！！   
1,2022/5/30 12:51-2022/5/30 13:11,10,  [转发的网页]   [转发的网页]   首先感谢俩位美女团长，二个月来为大家操心团购物资，真的很幸苦的，再次感谢我们的二位支援者，每次物资来了都要分发，包括做核酸要维持次序。也是很累的，再次表示感谢！有这样的好邻居我们都是幸运的[玫瑰][玫瑰][玫瑰]   [转发的网页]   悄悄说，这次蔬菜套餐成本是42元噢～薅羊毛的机会大家不要错过[呲牙]   感谢团长和志愿者[爱心]   团购搞得太好了 比平时盒马叮咚又方便又实惠    谢谢团长和志愿者[玫瑰]的付出，让我们不用天天早上6点蹲点抢菜（还不一定能抢到）。   小区将要解封了，在这二个月的日子里，有二位美女团长和楼组长及502自愿者的共同付出，使我们这1号楼平安渡过，非常感激！谢谢你们啦[玫瑰][玫瑰][玫瑰][握手][握手][握手]   
1,2022/5/30 13:29-2022/5/30 13:39,2,  二个月的宅家抗疫让我们看到了居委干部和志愿者的亮点，特别是我们一号楼的团长、楼长及年龄较大的志愿者阿姨你们在这次防疫抗疫中真的辛苦啦！因由你们的起早摸黑发放物资和传递上级信息，才使我们平稳度过这二个月时间，想感谢的事太多了，归总一句在这特殊时期我们感受到了特殊的关爱和帮助，在此十分感激万分感谢[抱拳][抱拳][抱拳][玫瑰][玫瑰][玫瑰][愉快][愉快][愉快]   
1,2022/5/30 14:03-2022/5/30 14:04,2,"  这次上海抗疫战即将取得伟大的胜利！
取得这次胜利，我们不能忘记广大的志愿者，楼组长，团购组的团长们和居委干部的辛勤劳动，我们要为他们点赞[强][强][强]
特别是我们305弄二位美女团长的辛勤努力，为广大居民长期呆在家中解决了日常生活困难的难题，因此受到我们广大居民的称赞！
为你们幸勤劳动我们再次感谢你们！
为你们点赞！[玫瑰][玫瑰][玫瑰]
同时我们还要感谢我们的楼组长和本楼的志愿者们，他们为这次抗疫也作出了重要贡献！ 
谢谢！[抱拳][抱拳][抱拳][玫瑰][玫瑰][玫瑰]   "
1,2022/5/30 15:14-2022/5/30 15:16,2,[点击播放语音] [点击播放语音]
1,2022/5/30 18:38-2022/5/30 18:42,4,  @毛头?楼长你好！你知道我们的小区属于三区中的哪一种吗？   不知道   不好意思，我不知道吖[捂脸]   哦，没事，看到建新小区董警官在大群里讲了是防范区[鼓掌]
1,2022/5/30 20:30-2022/5/30 20:30,1,  [转发的网页]
1,2022/5/30 21:29-2022/5/30 21:31,4,images\[01438]2022-05-30 21-29-35   明天还是要做抗原哦   [OK]   0k
1,2022/5/30 21:53-2022/5/30 21:53,1,  
1,2022/5/31 6:00-2022/5/31 6:00,1,images\[01439]2022-05-31 06-00-44
1,2022/5/31 6:42-2022/5/31 6:44,2,images\[01440]2022-05-31 06-42-34 images\[01441]2022-05-31 06-44-20
1,2022/5/31 6:56-2022/5/31 7:21,10,images\[01442]2022-05-31 06-56-32 images\[01443]2022-05-31 06-56-38 images\[01444]2022-05-31 06-56-47 images\[01445]2022-05-31 07-00-43 images\[01446]2022-05-31 07-00-45 images\[01447]2022-05-31 07-07-21 images\[01448]2022-05-31 07-07-21 images\[01449]2022-05-31 07-16-38 images\[01450]2022-05-31 07-16-38 images\[01451]2022-05-31 07-21-49
1,2022/5/31 7:35-2022/5/31 7:39,13,images\[01452]2022-05-31 07-35-01 images\[01453]2022-05-31 07-35-02 images\[01454]2022-05-31 07-35-16 images\[01455]2022-05-31 07-39-22 images\[01456]2022-05-31 07-39-23 images\[01457]2022-05-31 07-39-24 images\[01458]2022-05-31 07-39-24 images\[01459]2022-05-31 07-39-25 images\[01460]2022-05-31 07-39-25 images\[01461]2022-05-31 07-39-26 images\[01462]2022-05-31 07-39-26 images\[01463]2022-05-31 07-39-27 images\[01464]2022-05-31 07-39-47
1,2022/5/31 8:00-2022/5/31 8:00,6,images\[01465]2022-05-31 08-00-02 images\[01466]2022-05-31 08-00-02 images\[01467]2022-05-31 08-00-03 images\[01468]2022-05-31 08-00-03 images\[01469]2022-05-31 08-00-55 images\[01470]2022-05-31 08-00-56
1,2022/5/31 8:20-2022/5/31 8:51,8,"images\[01471]2022-05-31 08-20-42 images\[01472]2022-05-31 08-21-06 images\[01473]2022-05-31 08-21-07   【抗原工作提示】
今天（5月31日）抗原安排：
第一次抗原：所有点位6:30前完成
第二次抗原：没有核酸任务的点位13:00前完成

如抗原自测中发现二杠人员，请第一时间将抗原二杠、同住人信息上报。@所有人?   [OK]   [OK] images\[01474]2022-05-31 08-41-20 images\[01475]2022-05-31 08-51-43"
1,2022/5/31 9:27-2022/5/31 9:28,2,images\[01476]2022-05-31 09-27-42 images\[01477]2022-05-31 09-28-10
1,2022/5/31 9:50-2022/5/31 9:50,1,images\[01478]2022-05-31 09-50-52
1,2022/5/31 10:01-2022/5/31 10:01,1,images\[01479]2022-05-31 10-01-19
1,2022/5/31 10:13-2022/5/31 10:13,1,images\[01480]2022-05-31 10-13-03
1,2022/5/31 10:39-2022/5/31 10:40,3,images\[01481]2022-05-31 10-39-28   [捂脸]   什么叫具体操作手势
1,2022/5/31 11:01-2022/5/31 11:01,1,images\[01482]2022-05-31 11-01-00
1,2022/5/31 11:45-2022/5/31 11:52,8,"  我们楼里需要购买的，自行下单噢～   [转发的网页]   我们楼的到时候我和雁雁会去帮大家拿的   哇 上次错过的烤鱼   谢谢啦[抱拳]
  二位团长为了我们大家，站好最后一班岗[抱拳][玫瑰][强][拥抱]   （我吃了！豆豉好好吃）   [转发的网页]   [转发的网页]"
1,2022/5/31 12:15-2022/5/31 12:50,30,"images\[01483]2022-05-31 12-15-36   中午的抗原 401室   [玫瑰] images\[01484]2022-05-31 12-16-53   ""面粉大人"" 撤回了一条消息 images\[01485]2022-05-31 12-22-31   ??团购预告??

（因公帐仍有结余，依然将补贴此次团购）

团购内容：吕锦记招牌手撕鸡（800g左右，误差不超过100g）
团购金额：55元
团购份数：44/66/88（22只一箱，整箱购买）
团购时间：5月31日12:30-14:45
配送日期：6月1日

储存方式：冷冻保存??

食用说明：
1.凉吃:解冻后，手撕成条状即可食用。
2.热吃:解冻后，微波炉高火加热即可。   [转发的网页] images\[01486]2022-05-31 12-26-01 images\[01487]2022-05-31 12-26-14   手撕鸡返场了～有公帐补贴噢！   谢谢团长[抱拳][强]   可以多买吗？   可以的哈～   [合十] images\[01488]2022-05-31 12-28-28   [转发的网页]   [转发的网页]   [转发的网页]   3个买好   哈哈 images\[01489]2022-05-31 12-32-04   [转发的网页] images\[01490]2022-05-31 12-33-19 images\[01491]2022-05-31 12-40-24 images\[01492]2022-05-31 12-41-34   [转发的网页] images\[01493]2022-05-31 12-47-28   [转发的网页] images\[01494]2022-05-31 12-50-03"
1,2022/5/31 14:27-2022/5/31 14:27,1,  手撕鸡还有没有要下单哒[呲牙]因为需要整箱22只购买，如果不满整箱会给最后几位下单的居民退款退单～
1,2022/5/31 14:55-2022/5/31 15:14,5,  哦，没事的[抱拳] images\[01495]2022-05-31 15-04-30      明天要出门上班的，可以去470小花园排队做核酸～16:00结束 images\[01496]2022-05-31 15-14-09
1,2022/5/31 15:35-2022/5/31 15:36,3,  [庆祝][庆祝][庆祝][跳跳][跳跳][跳跳]   激动 终于解封了 images\[01497]2022-05-31 15-36-45
1,2022/5/31 16:57-2022/5/31 16:59,4,images\[01498]2022-05-31 16-57-50   收到[抱拳]   收到   [OK]
1,2022/5/31 18:21-2022/5/31 18:21,1,[点击播放语音]
1,2022/5/31 19:13-2022/5/31 19:13,1,  好的好的 刚看见 谢谢～
1,2022/5/31 21:20-2022/5/31 21:34,4,images\[01499]2022-05-31 21-20-05   收到[抱拳]   好的[OK]   收到谢谢
1,2022/6/1 5:33-2022/6/1 5:33,1,images\[01500]2022-06-01 05-33-32
1,2022/6/1 6:05-2022/6/1 6:05,1,images\[01501]2022-06-01 06-05-43
1,2022/6/1 6:23-2022/6/1 6:23,1,images\[01502]2022-06-01 06-23-11
1,2022/6/1 6:43-2022/6/1 6:43,1,images\[01503]2022-06-01 06-43-37
1,2022/6/1 7:04-2022/6/1 7:40,9,images\[01504]2022-06-01 07-04-53 images\[01505]2022-06-01 07-13-07 images\[01506]2022-06-01 07-14-54 images\[01507]2022-06-01 07-18-04 images\[01508]2022-06-01 07-28-13 images\[01509]2022-06-01 07-30-13 images\[01510]2022-06-01 07-35-23 images\[01511]2022-06-01 07-35-58 images\[01512]2022-06-01 07-40-36
1,2022/6/1 7:54-2022/6/1 8:04,2,images\[01513]2022-06-01 07-54-29 images\[01514]2022-06-01 08-04-01
1,2022/6/1 9:28-2022/6/1 9:39,5,[点击播放语音]   好的 收到 [点击播放语音]   好的[OK]   收到谢谢您。
1,2022/6/1 9:50-2022/6/1 9:57,2,  收到   好的，知道了[抱拳][抱拳]
1,2022/6/1 10:47-2022/6/1 10:47,1,  知道了[抱拳]
1,2022/6/1 11:14-2022/6/1 11:32,8,  手撕鸡要到了噢 images\[01515]2022-06-01 11-14-22   502谢谢你帮我拿拿放在你冰箱里放一下好吗 images\[01516]2022-06-01 11-24-27 [点击播放语音]   来了   @雯雯?好的放心   
1,2022/6/1 12:38-2022/6/1 12:49,4,"  @所有人?470弄小花园常态化核酸检测点时间为：
上午8:30-11:00
下午13:30-16:00
晚上18:00-21:30 
经上级部门沟通后现用最新的操作手势：今日下午实行五人一管，手机扫场所码后显示绿码（如黄、红码皆不可做）或带身份证即可进行检测，出舱解离人员和居家解离人员需出示随申办上的解除医学隔离证明后进行单人单管检测。
另，温馨提醒，小区解封不易，请大家珍惜成果，前往核酸检测点时一定带好口罩做好防护，有序排队，间距保持两米。做完核酸后请不要随地吐痰，到家及时洗手，做好消杀，少聚集，少扎堆，安全你我他！   收到谢谢   收到 [点击播放语音]"
1,2022/6/1 13:02-2022/6/1 13:03,2,  收到谢谢您。   收到[抱拳]
1,2022/6/1 17:57-2022/6/1 17:59,3,  [转发的网页]   是什么？   这是宝珠奶酪，有需要的可以买抵用券，还是很划算的，店在太平洋森活天地。
1,2022/6/1 18:56-2022/6/1 18:56,1,images\[01517]2022-06-01 18-56-15
1,2022/6/2 6:50-2022/6/2 7:00,2,images\[01518]2022-06-02 06-50-00 images\[01519]2022-06-02 07-00-16
1,2022/6/2 7:17-2022/6/2 7:22,4,images\[01520]2022-06-02 07-17-55 images\[01521]2022-06-02 07-18-46   @所有人?因实验室临时关闭，470点位核酸今日暂停开放，请前往临近其他检测点进行核酸检测，由此带来的不便请谅解。   收到
1,2022/6/2 7:52-2022/6/2 7:54,2,images\[01522]2022-06-02 07-52-16 images\[01523]2022-06-02 07-54-51
1,2022/6/2 8:29-2022/6/2 8:29,1,  收到[抱拳]
1,2022/6/2 9:07-2022/6/2 9:24,4,images\[01524]2022-06-02 09-07-33 images\[01525]2022-06-02 09-10-35 images\[01526]2022-06-02 09-17-30 images\[01527]2022-06-02 09-24-52
1,2022/6/2 12:32-2022/6/2 12:41,2,[点击播放语音]   嗯嗯 谢谢谢谢 刚拿好了
1,2022/6/2 15:18-2022/6/2 15:23,2,  [转发的网页]   我们本来不是这个幼儿园?
1,2022/6/2 16:28-2022/6/2 16:35,6,  请问现在外地飞机来上海的 能进小区么@陶陶? [点击播放语音]   我在开会，晚点来拿   来了 [点击播放语音] [点击播放语音]
1,2022/6/2 16:51-2022/6/2 17:06,5,  @雯雯?素菜在你门口哦   好的，谢谢啦！不好意思，在外面，马上回来了。   @沈玉华502?谢谢你的帮助，感恩[抱拳][抱拳][抱拳]   没什么，，举手之劳   很重的，又是5楼不容易，辛苦了，感恩[抱拳][玫瑰]
1,2022/6/3 0:27-2022/6/3 0:27,1,  [转发的网页]
1,2022/6/3 5:55-2022/6/3 5:55,1,images\[01528]2022-06-03 05-55-31
1,2022/6/3 6:38-2022/6/3 6:42,2,images\[01529]2022-06-03 06-38-52 images\[01530]2022-06-03 06-42-27
1,2022/6/3 7:03-2022/6/3 7:03,1,images\[01531]2022-06-03 07-03-11
1,2022/6/3 7:26-2022/6/3 7:26,1,images\[01532]2022-06-03 07-26-29
1,2022/6/3 7:37-2022/6/3 7:37,1,images\[01533]2022-06-03 07-37-43
1,2022/6/3 8:07-2022/6/3 8:07,1,images\[01534]2022-06-03 08-07-06
1,2022/6/3 10:07-2022/6/3 10:07,1,images\[01535]2022-06-03 10-07-25
1,2022/6/3 10:28-2022/6/3 10:28,1,"  ""104"" 撤回了一条消息"
1,2022/6/3 13:40-2022/6/3 13:52,4,  望蓉城到了哦 images\[01536]2022-06-03 13-49-17   @友谊?酸菜鱼到啦   好:，来了
1,2022/6/3 16:13-2022/6/3 16:13,1,  [转发的网页]
1,2022/6/4 6:01-2022/6/4 6:01,1,images\[01537]2022-06-04 06-01-25
1,2022/6/4 6:56-2022/6/4 7:04,3,images\[01538]2022-06-04 06-56-52 images\[01539]2022-06-04 07-00-13 images\[01540]2022-06-04 07-04-05
1,2022/6/4 7:20-2022/6/4 7:29,2,images\[01541]2022-06-04 07-20-32 images\[01542]2022-06-04 07-29-40
1,2022/6/4 7:53-2022/6/4 7:53,1,images\[01543]2022-06-04 07-53-10
1,2022/6/4 12:27-2022/6/4 12:30,3,  @所有人?今晚常态化核酸点470小花园、305小花园都有，采样时间18:00-21:30，请按需的前往！      好的
1,2022/6/4 12:50-2022/6/4 12:58,3,  收到[抱拳]   好的   收到
1,2022/6/4 13:11-2022/6/4 13:16,2,  @所有人?友情提醒：经这两天观测下来，第三方带来的管子数量是固定的，用完采样人员就收工了，所以不要拖到最后，以免确有核酸需求的人员做不到。   
1,2022/6/4 13:36-2022/6/4 13:36,1,  好
1,2022/6/4 13:52-2022/6/4 13:52,1,  收到谢谢您。
1,2022/6/4 15:20-2022/6/4 15:20,1,  0
1,2022/6/4 21:00-2022/6/4 21:00,1,  @所有人?今天305弄小花园核酸已结束 ，有需求的赶紧到470弄小花园做核酸
1,2022/6/5 6:47-2022/6/5 6:47,1,images\[01544]2022-06-05 06-47-40
1,2022/6/5 7:09-2022/6/5 7:09,1,images\[01545]2022-06-05 07-09-39
1,2022/6/5 7:41-2022/6/5 7:45,3,images\[01546]2022-06-05 07-41-23 images\[01547]2022-06-05 07-44-43 images\[01548]2022-06-05 07-45-03
1,2022/6/5 10:28-2022/6/5 10:32,2,images\[01549]2022-06-05 10-28-16 images\[01550]2022-06-05 10-32-43
1,2022/6/5 11:06-2022/6/5 11:09,4,"images\[01551]2022-06-05 11-06-01 images\[01552]2022-06-05 11-06-08   @所有人?温馨提醒，小区内常态化点位服务时间有变动，请大家仔细查阅上面两图，合理安排核酸检测时间，以免影响出行。
另，305弄排队入口是从305弄门卫室绕行至小花园西側   各位邻居:
  请大家注意上传的信息[抱拳]
  都是大家关注的事。"
1,2022/6/5 11:20-2022/6/5 11:33,4,"  @@所有人?大家注意??随申办上把政通路305弄打成了邯郸路305弄，请大家提醒居民，不要被误导，找不到邯郸路305弄的   ""102阿姨"" 撤回了一条消息   挺好的外面的人找不到了[捂脸]   [转发的网页]"
1,2022/6/5 12:29-2022/6/5 12:33,2,images\[01553]2022-06-05 12-29-42   就是我们原来进的这条路吧
1,2022/6/5 12:58-2022/6/5 12:58,2,  对的   [抱拳]
1,2022/6/5 17:54-2022/6/5 17:54,1,[点击播放语音]
1,2022/6/5 18:51-2022/6/5 18:52,2,"  谢谢谢谢 我拿走了   没事的
  我看见就拿回来[偷笑]"
1,2022/6/5 22:59-2022/6/5 23:04,8,  @所有人? images\[01554]2022-06-05 22-59-34   收到   收到   @陶陶?全部结束后可以正常出入，是全小区做完就可以吗还是要等出结果？   收到   晚上刚刚做完核酸回家[偷笑]   收到
1,2022/6/5 23:20-2022/6/5 23:24,9,  通知??明天早上做核酸（具体时间根据医护情况待定）请楼组长统计早上的抗原结果，一旦发现二道杠人员请立即上报，此户不参与此次核酸检测??核酸检测时请一定要带好手机（提醒没有手机的邻居带好身份证），核酸楼栋顺序为：305-1、2、3、4、5、6、7、8、9、10、11、12、13。   不是六点半吗[捂脸]   这是陶陶刚刚发来的   闹钟定几点啊那。。   5点半 images\[01555]2022-06-05 23-22-47   [转发的网页]   @404 雁雁?年轻   我想: 6点半不会那么早吧？
1,2022/6/6 2:19-2022/6/6 2:19,1,images\[01556]2022-06-06 02-19-15
1,2022/6/6 5:16-2022/6/6 5:18,2,images\[01557]2022-06-06 05-16-22 images\[01558]2022-06-06 05-18-30
1,2022/6/6 5:45-2022/6/6 5:51,2,images\[01559]2022-06-06 05-45-00 images\[01560]2022-06-06 05-51-27
1,2022/6/6 6:06-2022/6/6 6:07,2,images\[01561]2022-06-06 06-06-55 images\[01562]2022-06-06 06-07-55
1,2022/6/6 6:19-2022/6/6 6:19,1,images\[01563]2022-06-06 06-19-10
1,2022/6/6 6:35-2022/6/6 6:40,2,images\[01564]2022-06-06 06-35-04 images\[01565]2022-06-06 06-40-30
1,2022/6/6 6:52-2022/6/6 7:10,12,"images\[01566]2022-06-06 06-52-16 images\[01567]2022-06-06 06-52-46 images\[01568]2022-06-06 06-53-56   @所有人?麻烦提醒大家更新核酸码 images\[01569]2022-06-06 06-56-28 images\[01570]2022-06-06 07-01-32 [点击播放语音] [点击播放语音] [点击播放语音] [点击播放语音]   来了   ""慧慧"" 撤回了一条消息"
1,2022/6/6 7:21-2022/6/6 7:21,1,images\[01571]2022-06-06 07-21-55
1,2022/6/6 14:01-2022/6/6 14:04,6,  通知??明天早上继续核酸大筛（具体时间根据医护情况待定，估计跟今天早上差不多）核酸楼栋顺序为：305-1、2、3、4、5、6、7、8、9、10、11、12、13。   好的   收到[抱拳]   @401  老规矩哦[抱拳]   @毛头?好的阿姨[微笑]   
1,2022/6/6 14:19-2022/6/6 14:19,2,  收到[抱拳]   收到??
1,2022/6/6 20:41-2022/6/6 20:43,3,images\[01572]2022-06-06 20-41-32   收到   收到
1,2022/6/6 20:54-2022/6/6 21:03,2,  收到[抱拳]   收到
1,2022/6/7 5:53-2022/6/7 5:55,2,images\[01573]2022-06-07 05-53-51 images\[01574]2022-06-07 05-55-47
1,2022/6/7 6:10-2022/6/7 6:22,6,images\[01575]2022-06-07 06-10-31 images\[01576]2022-06-07 06-10-50 images\[01577]2022-06-07 06-10-51 images\[01578]2022-06-07 06-10-51 images\[01579]2022-06-07 06-20-07 images\[01580]2022-06-07 06-22-40
1,2022/6/7 6:33-2022/6/7 6:57,5,images\[01581]2022-06-07 06-33-59 images\[01582]2022-06-07 06-43-45 images\[01583]2022-06-07 06-52-21 [点击播放语音] images\[01584]2022-06-07 06-57-15
1,2022/6/7 17:47-2022/6/7 17:52,3,images\[01585]2022-06-07 17-47-45   通知??明天早上继续核酸大筛（具体时间根据医护情况待定，估计跟今天早上差不多）核酸楼栋顺序为：305-1、2、3、4、5、6、7、8、9、10、11、12、13。   遵命[抱拳]
1,2022/6/7 18:03-2022/6/7 18:12,2,  [偷笑]   [调皮]
1,2022/6/7 18:23-2022/6/7 18:23,1,  收到谢谢您。
1,2022/6/7 18:37-2022/6/7 18:37,1,  收到[抱拳]
1,2022/6/7 18:51-2022/6/7 18:51,1,  收到[抱拳]
1,2022/6/7 19:24-2022/6/7 19:24,1,  收到[抱拳]
1,2022/6/8 5:53-2022/6/8 5:54,2,images\[01586]2022-06-08 05-53-05 images\[01587]2022-06-08 05-54-01
1,2022/6/8 6:11-2022/6/8 6:28,5,images\[01588]2022-06-08 06-11-49 images\[01589]2022-06-08 06-21-55 images\[01590]2022-06-08 06-24-45 images\[01591]2022-06-08 06-25-55 images\[01592]2022-06-08 06-28-12
1,2022/6/8 6:44-2022/6/8 6:54,3,images\[01593]2022-06-08 06-44-25 [点击播放语音] [点击播放语音]
1,2022/6/8 10:04-2022/6/8 10:11,4,images\[01594]2022-06-08 10-04-36 [点击播放视频]   早上做核酸的云南护士   现在还有外地的医护呀
1,2022/6/8 11:37-2022/6/8 11:37,1,  我问她们的来自云南，要本月25日回去
1,2022/6/8 12:33-2022/6/8 12:33,1,  哦还要外地医护支持啊[捂脸]
1,2022/6/8 16:55-2022/6/8 16:55,2,[点击播放语音]   好的好的 谢谢
1,2022/6/8 18:45-2022/6/8 18:48,4,"  友情提醒：明天早上没有核酸普筛！
明天晚上470、305常态化点位（夜场）正常开放，时间为18:00-21:30，请大家按需检测，有序排队，做好防护！
另，排队请往305弄6号处走至小花园检测点入口处。 images\[01595]2022-06-08 18-46-01   收到谢谢   知道了，谢谢"
1,2022/6/8 19:00-2022/6/8 19:10,2,[点击播放语音]   收到了，谢谢您。
1,2022/6/9 5:31-2022/6/9 5:31,1,images\[01596]2022-06-09 05-31-33
1,2022/6/9 6:31-2022/6/9 6:31,1,images\[01597]2022-06-09 06-31-01
1,2022/6/9 6:48-2022/6/9 6:50,2,images\[01598]2022-06-09 06-48-35 images\[01599]2022-06-09 06-50-40
1,2022/6/9 7:19-2022/6/9 7:19,1,images\[01600]2022-06-09 07-19-47
1,2022/6/9 9:10-2022/6/9 9:10,1,  [转发的网页]
1,2022/6/9 14:42-2022/6/9 14:42,1,images\[01601]2022-06-09 14-42-35
1,2022/6/9 15:23-2022/6/9 15:23,1,[点击播放视频]
1,2022/6/9 17:30-2022/6/9 17:30,1,"  """
1,2022/6/9 18:54-2022/6/9 19:01,4,"  @所有人?温馨提醒
目前社区卫生站已开放，工作时间为：
8:00到11:00，13:30到16:00
??注：开药只有上午有??   收到谢谢??    收到谢谢   好的:，谢谢"
1,2022/6/9 19:27-2022/6/9 19:32,2,  好的[抱拳]   
1,2022/6/9 19:45-2022/6/9 19:53,6,"  ""   @毛头?阿姨我拉我们宿舍的几个人，现在进小区要楼组群   ""    你叫她们自己加   我拉进来了   哦哦"
1,2022/6/9 21:23-2022/6/9 21:23,2,"  ""   ""志平""与群里其他人都不是朋友关系，请注意隐私安全"
1,2022/6/10 6:09-2022/6/10 6:09,1,images\[01602]2022-06-10 06-09-57
1,2022/6/10 6:49-2022/6/10 7:08,4,images\[01603]2022-06-10 06-49-13 images\[01604]2022-06-10 06-52-46   [转发的网页]   我们1号楼居民大家好，我们守护小区守护家门2个多月，现以开封让居民开心快乐，年轻创业，年老小区外出走。居民外出带好口罩，今发送让大家听到男生唱歌是女声，大家听听，开??快乐??
1,2022/6/10 7:21-2022/6/10 7:25,2,images\[01605]2022-06-10 07-21-41   我们1号楼居民大家好，我们封闭2个月，大家守护小区，守护家门，我们楼组长为民服精神给居民帶耒幸福??。开封了，年轻创业上班，退休老人在外快乐。今送男生唱歌变女声。大家看看也是快乐一起同唱吧。
1,2022/6/10 9:20-2022/6/10 9:20,1,  [转发的网页]
1,2022/6/10 14:53-2022/6/10 14:53,2,images\[01606]2022-06-10 14-53-11 images\[01607]2022-06-10 14-53-11
1,2022/6/10 15:10-2022/6/10 15:26,6,  @所有人?通知：6月11日（周六）上午核酸大筛（具体时间根据医护情况待定），请大家严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰，谢谢！ images\[01608]2022-06-10 15-10-59   收到   收到谢谢[抱拳]   收到   收到谢谢
1,2022/6/10 15:37-2022/6/10 15:37,1,  收到[抱拳]
1,2022/6/10 15:56-2022/6/10 15:56,1,  收到[抱拳][抱拳]
1,2022/6/10 16:52-2022/6/10 16:52,1,  收到，謝謝您。
1,2022/6/11 5:50-2022/6/11 5:50,1,images\[01609]2022-06-11 05-50-55
1,2022/6/11 6:31-2022/6/11 6:39,2,images\[01610]2022-06-11 06-31-07 [点击播放语音]
1,2022/6/11 19:28-2022/6/11 19:28,1,  [转发的网页]
1,2022/6/11 21:56-2022/6/11 22:02,3,  毛头明天早上核酸做伐   目前没有接到通知[握手]   250弄刚刚通知，明天做核酸[捂脸]
