类别,行政区,点评数,口味,环境,服务,人均消费,城市,Lng,Lat
西餐, 卢湾区,292,8.1,7.7,7.8,38,上海市,121.4550331,31.21818989
西餐, 卢湾区,189,8.1,8,7.6,41,上海市,121.4550331,31.21818989
甜点, 卢湾区,1218,8.3,8.7,8.6,27,上海市,121.4550331,31.21818989
甜点, 卢湾区,422,7.7,7.5,7.6,15,上海市,121.4550331,31.21818989
甜点, 卢湾区,63,7.9,7.7,7.8,39,上海市,121.4550331,31.21818989
甜点, 卢湾区,32,8.3,7.8,8.1,15,上海市,121.4550331,31.21818989
甜点, 卢湾区,168,7.5,7.3,7.5,30,上海市,121.4550331,31.21818989
甜点, 卢湾区,559,6.7,6.4,6.3,9,上海市,121.4550331,31.21818989
甜点, 卢湾区,904,7.8,8.2,7.7,34,上海市,121.4550331,31.21818989
快餐, 卢湾区,38,7.5,7.3,7.2,12,上海市,121.4550331,31.21818989
浙菜, 卢湾区,2442,8.5,8.2,8.4,79,上海市,121.4550331,31.21818989
快餐, 卢湾区,767,6.8,6.9,6.8,42,上海市,121.4550331,31.21818989
快餐, 卢湾区,33,6.8,6.9,7,29,上海市,121.4550331,31.21818989
本菜, 卢湾区,4382,7.8,8,8,42,上海市,121.4550331,31.21818989
甜点, 卢湾区,115,8.2,8.2,8.1,24,上海市,121.4550331,31.21818989
西餐, 徐汇区,556,7.7,7.7,7.2,64,上海市,121.4550321,31.20705323
西餐, 徐汇区,184,7.6,7.8,7.7,104,上海市,121.4550321,31.20705323
川菜, 卢湾区,461,0,0,0,99,上海市,121.4550282,31.21781306
料理, 卢湾区,3300,8.3,7.7,8.1,91,上海市,121.4550282,31.21781306
快餐, 徐汇区,156,8.2,6.9,7.8,18,上海市,121.4550107,31.21078038
快餐, 闸北区,267,7.3,6.3,6.6,19,上海市,121.4550005,31.25882327
烧烤, 闸北区,370,8.4,7.8,8.5,102,上海市,121.4549863,31.31935966
浙菜, 宝山区,116,7.1,7.3,7.4,91,上海市,121.4549834,31.32984379
快餐, 徐汇区,13,7.3,6.8,7.2,8,上海市,121.4549917,31.21082631
快餐, 静安区,17,8,8.2,7.9,56,上海市,121.4549399,31.22955034
西餐, 静安区,469,9,8.9,9,150,上海市,121.4549399,31.22955034
西餐, 静安区,1489,8.7,8.6,8.6,166,上海市,121.4549399,31.22955034
西餐, 静安区,293,8.6,9,8.9,45,上海市,121.4549399,31.22955034
西餐, 静安区,680,8.4,8.4,8.5,125,上海市,121.4549399,31.22955034
西餐, 静安区,626,7.7,8.5,8.2,45,上海市,121.4549399,31.22955034
西餐, 静安区,558,7.6,8.5,7.8,79,上海市,121.4549399,31.22955034
甜点, 静安区,159,8,8.3,8,41,上海市,121.4549399,31.22955034
甜点, 静安区,41,7.1,7.6,7.4,36,上海市,121.4549399,31.22955034
甜点, 静安区,12,6.2,6.2,6.3,25,上海市,121.4549399,31.22955034
咖啡厅, 静安区,203,7.9,8.8,8.2,54,上海市,121.4549399,31.22955034
咖啡厅, 静安区,78,7.4,7.7,7.9,27,上海市,121.4549399,31.22955034
疆菜, 静安区,110,8.7,9.1,9,134,上海市,121.4549399,31.22955034
美食, 宝山区,36,7.2,7,7,59,上海市,121.4549193,31.32896696
快餐, 徐汇区,688,7.4,6.5,7.2,22,上海市,121.4549242,31.21403661
快餐, 静安区,41,7.3,7,6.9,58,上海市,121.4549129,31.22859672
咖啡厅, 静安区,1477,7.3,7.3,7.1,42,上海市,121.4549097,31.23131045
本菜, 静安区,3626,7.6,8.1,7.7,93,上海市,121.4549097,31.23131045
甜点, 静安区,717,8,7.7,8,24,上海市,121.4549097,31.23131045
甜点, 静安区,3300,7,6.4,6.4,21,上海市,121.4549097,31.23131045
甜点, 静安区,63,7.2,7.2,7.3,15,上海市,121.4549097,31.23131045
美食, 静安区,165,7.6,7.4,7.3,48,上海市,121.4549097,31.23131045
海鲜, 卢湾区,1363,8.4,8.4,8.4,151,上海市,121.4548893,31.22322417
甜点, 闸北区,12,7.7,7.6,7.6,22,上海市,121.4548725,31.31339264
快餐, 宝山区,83,7.7,7,7.3,13,上海市,121.4548695,31.33578439
快餐, 闸北区,52,7.4,7.2,7.2,21,上海市,121.4548738,31.27466518
甜点, 闸北区,229,7,6.8,6.5,15,上海市,121.4548738,31.27466518
美食, 闸北区,20,7.2,6.8,6.8,18,上海市,121.4548738,31.27466518
甜点, 徐汇区,67,7.4,7.3,7.2,18,上海市,121.4548771,31.21393155
亚菜, 徐汇区,62,8.1,7.6,8,109,上海市,121.4548751,31.2134078
浙菜, 徐汇区,6,6.8,6.7,6.9,21,上海市,121.4548663,31.21112887
川菜, 徐汇区,39,6.8,6.7,6.8,49,上海市,121.4548663,31.21112887
料理, 静安区,8462,8.9,9.1,9.1,134,上海市,121.454854,31.23684377
咖啡厅, 静安区,288,8.1,8.4,8.2,33,上海市,121.4548507,31.22858458
西餐, 闸北区,108,6.9,6.6,6.9,93,上海市,121.4548365,31.30079643
湘菜, 闸北区,24,7.7,7.9,7.6,56,上海市,121.4548365,31.30079643
西餐, 闸北区,18,7.4,7.1,7.2,28,上海市,121.4548365,31.30079643
咖啡厅, 闸北区,158,8.1,8.3,8,34,上海市,121.4548365,31.30079643
甜点, 闸北区,277,7.4,7.5,7.5,18,上海市,121.4548365,31.30079643
美食, 闸北区,91,7.9,7.8,7.8,40,上海市,121.4548365,31.30079643
浙菜, 徐汇区,438,8.4,7.2,7.7,93,上海市,121.4548392,31.21119178
粤菜, 静安区,4067,7.9,7.7,7.6,79,上海市,121.4548377,31.22837364
快餐, 徐汇区,73,7.7,6.7,7.1,27,上海市,121.4548241,31.21120774
快餐, 静安区,423,7.5,7.5,7.5,35,上海市,121.4548089,31.23680768
快餐, 静安区,40,7.2,7.1,7,27,上海市,121.4548089,31.23680768
快餐, 闸北区,5,7.1,7.1,7.4,22,上海市,121.4547925,31.25225868
助餐, 闵行区,72,6.7,6.6,6.7,53,上海市,121.454805,31.03777126
甜点, 静安区,237,7.7,8,7.8,41,上海市,121.4547873,31.23091135
甜点, 徐汇区,956,8.2,8.2,8.4,13,上海市,121.4547867,31.21516575
快餐, 闸北区,169,7.5,7.6,7.5,20,上海市,121.4547815,31.25241658
快餐, 卢湾区,451,7.3,7,7.2,35,上海市,121.4547804,31.21843318
快餐, 静安区,20,7.1,6.7,7.3,4,上海市,121.4547734,31.23004671
咖啡厅, 静安区,153,7.8,8,8.3,16,上海市,121.4547734,31.23004671
咖啡厅, 静安区,65,8.2,7.8,8.2,18,上海市,121.4547734,31.23004671
浙菜, 闸北区,3,7,7,7,69,上海市,121.4547642,31.25529827
浙菜, 徐汇区,230,6.9,7.1,6.6,75,上海市,121.45477,31.1178678
浙菜, 徐汇区,89,7,6.8,6.9,71,上海市,121.45477,31.1178678
湘菜, 闸北区,43,7.3,7.2,7.3,55,上海市,121.4547514,31.25217162
咖啡厅, 静安区,2299,7.9,8.2,7.9,51,上海市,121.4547401,31.23168388
甜点, 静安区,625,7.7,7.3,7.6,18,上海市,121.4547313,31.23022053
川菜, 闵行区,10,6.8,6.8,6.8,26,上海市,121.4547408,31.03773513
浙菜, 静安区,1317,7.2,7.1,6.9,117,上海市,121.4547232,31.23098316
粤菜, 静安区,1450,8.5,8.5,8.3,102,上海市,121.4547232,31.23098316
粤菜, 静安区,1354,6.8,6.6,6.8,58,上海市,121.4547232,31.23098316
粤菜, 静安区,99,7.1,6.9,6.9,112,上海市,121.4547232,31.23098316
粤菜, 静安区,1284,7.6,7.7,7.5,72,上海市,121.4547232,31.23098316
料理, 静安区,1110,6.9,6.9,6.9,46,上海市,121.4547232,31.23098316
快餐, 静安区,6165,7.8,7,7,19,上海市,121.4547232,31.23098316
快餐, 静安区,5046,7.2,7,6.9,22,上海市,121.4547232,31.23098316
快餐, 静安区,3190,7.2,7.1,6.6,53,上海市,121.4547232,31.23098316
快餐, 静安区,344,7.4,7.6,7.7,44,上海市,121.4547232,31.23098316
快餐, 静安区,761,7.1,7,7,29,上海市,121.4547232,31.23098316
本菜, 静安区,13730,8.4,8.1,8.7,98,上海市,121.4547232,31.23098316
本菜, 静安区,911,8.1,8.2,8,96,上海市,121.4547232,31.23098316
西餐, 静安区,102,7.9,7.8,8.3,34,上海市,121.4547232,31.23098316
甜点, 静安区,2006,7,6.6,6.7,23,上海市,121.4547232,31.23098316
甜点, 静安区,160,7,7,7,13,上海市,121.4547232,31.23098316
甜点, 静安区,112,7.2,7.2,7.2,17,上海市,121.4547232,31.23098316
甜点, 静安区,46,7.4,7.4,7.4,26,上海市,121.4547232,31.23098316
浙菜, 闵行区,5,7,6.8,7,59,上海市,121.4547388,31.03775911
美食, 徐汇区,167,7.7,7.6,7.8,27,上海市,121.4547163,31.19481048
川菜, 闸北区,9,6.9,6.9,6.9,46,上海市,121.4547028,31.25800493
快餐, 闸北区,66,7.2,6.9,7,19,上海市,121.4546916,31.25911042
快餐, 闸北区,295,7.6,7.5,7.3,19,上海市,121.4546916,31.25911042
快餐, 闸北区,55,8,7.8,7.9,10,上海市,121.4546852,31.25279119
甜点, 徐汇区,36,7,7,7,22,上海市,121.4546844,31.21538841
火锅, 闵行区,182,8.3,8,8.2,80,上海市,121.4546992,31.04382649
龙虾, 闵行区,165,6.9,6.8,6.6,62,上海市,121.4546992,31.04382649
湘菜, 闸北区,8,6.9,6.7,6.9,34,上海市,121.454675,31.25490123
快餐, 闸北区,187,7.6,7.4,7.5,23,上海市,121.4546746,31.25970513
美食, 闸北区,12,6.9,7,6.9,14,上海市,121.454675,31.25490123
甜点, 宝山区,17,6.8,6.6,6.8,8,上海市,121.4546629,31.3366666
料理, 静安区,125,7.8,7.7,8.1,22,上海市,121.454669,31.23092306
西餐, 闵行区,16,7,6.9,7,18,上海市,121.4546776,31.03774498
火锅, 徐汇区,2423,8.7,8.3,8.2,135,上海市,121.454661,31.21898464
快餐, 卢湾区,2419,7.7,7.6,7.5,35,上海市,121.454647,31.21909855
快餐, 卢湾区,146,7.8,7.8,7.8,28,上海市,121.454647,31.21909855
快餐, 卢湾区,375,7,6.9,7,34,上海市,121.454647,31.21909855
快餐, 卢湾区,359,6.7,6.3,6.2,27,上海市,121.454647,31.21909855
料理, 卢湾区,1109,7.1,7.3,7.2,42,上海市,121.454647,31.21909855
西餐, 卢湾区,649,7.7,8.4,8.2,85,上海市,121.454647,31.21909855
甜点, 卢湾区,269,7.9,7.9,7.7,34,上海市,121.454647,31.21909855
甜点, 卢湾区,127,7.2,7.2,6.9,16,上海市,121.454647,31.21909855
甜点, 卢湾区,431,0,0,0,23,上海市,121.454647,31.21909855
亚菜, 徐汇区,245,8.4,7.8,8.3,100,上海市,121.4546425,31.21277856
火锅, 闸北区,2053,8.2,8.5,8.3,75,上海市,121.4546343,31.26078356
快餐, 闸北区,10,7.6,7.4,7.4,7,上海市,121.4546343,31.26078356
甜点, 闸北区,34,7.3,7.2,7.2,17,上海市,121.4546343,31.26078356
浙菜, 闵行区,319,7.3,7.3,6.9,36,上海市,121.4546497,31.03652662
咖啡厅, 徐汇区,51,7.2,7.7,7.3,52,上海市,121.4546353,31.15701452
快餐, 宝山区,73,7.4,7.1,6.9,17,上海市,121.4546157,31.33675645
烧烤, 闸北区,17,7.4,7,7.1,85,上海市,121.454613,31.26364527
快餐, 静安区,1278,7.4,7.3,7.3,40,上海市,121.4546098,31.23112183
烧烤, 闵行区,46,7.3,7.2,7.1,31,上海市,121.4546245,31.03773786
北菜, 闵行区,42,6.8,6.8,6.7,51,上海市,121.4546195,31.03772085
川菜, 闸北区,0,0,0,0,35,上海市,121.4545978,31.25459119
甜点, 闸北区,72,7.4,7.3,7,17,上海市,121.4545881,31.31945669
快餐, 闸北区,42,7.4,7.3,7.2,123,上海市,121.4545904,31.25910919
川菜, 闸北区,200,7.2,7.7,7.4,36,上海市,121.4545897,31.24390594
川菜, 闸北区,59,7.2,7.1,7.1,54,上海市,121.4545897,31.24390594
湾菜, 闸北区,154,8.1,9.1,9,86,上海市,121.4545897,31.24390594
湾菜, 闸北区,42,7.6,7.9,7.8,32,上海市,121.4545897,31.24390594
火锅, 闸北区,337,8.9,9.1,9,113,上海市,121.4545897,31.24390594
快餐, 闸北区,87,8,7.7,7.7,36,上海市,121.4545897,31.24390594
快餐, 闸北区,119,7.6,8,7.8,37,上海市,121.4545897,31.24390594
快餐, 闸北区,76,7.7,7.9,7.7,24,上海市,121.4545897,31.24390594
快餐, 闸北区,32,7.4,7.5,7.6,21,上海市,121.4545897,31.24390594
快餐, 闸北区,47,7.1,7.3,7.1,40,上海市,121.4545897,31.24390594
快餐, 闸北区,57,6.2,6.5,6.2,28,上海市,121.4545897,31.24390594
快餐, 闸北区,18,6.7,6.9,7,15,上海市,121.4545897,31.24390594
本菜, 闸北区,356,8.2,8.4,8.7,62,上海市,121.4545897,31.24390594
本菜, 闸北区,78,8,8,8,61,上海市,121.4545897,31.24390594
本菜, 闸北区,34,7.8,7.5,7.9,66,上海市,121.4545897,31.24390594
亚菜, 闸北区,390,8.7,8.7,8.6,99,上海市,121.4545897,31.24390594
亚菜, 闸北区,94,7.2,7.4,7.5,82,上海市,121.4545897,31.24390594
西餐, 闸北区,71,7.4,7.6,6.9,38,上海市,121.4545897,31.24390594
西餐, 闸北区,9,7.1,7,7.1,90,上海市,121.4545897,31.24390594
甜点, 闸北区,133,8.8,8.9,9.1,53,上海市,121.4545897,31.24390594
甜点, 闸北区,71,8.3,8.6,8.9,29,上海市,121.4545897,31.24390594
甜点, 闸北区,57,8.1,8.3,8.1,19,上海市,121.4545897,31.24390594
甜点, 闸北区,29,8,7.8,7.9,35,上海市,121.4545897,31.24390594
甜点, 闸北区,46,7.6,7.6,7.4,39,上海市,121.4545897,31.24390594
甜点, 闸北区,30,7.9,7.8,7.7,32,上海市,121.4545897,31.24390594
咖啡厅, 闸北区,36,8.2,8,8.3,22,上海市,121.4545897,31.24390594
南菜, 闸北区,526,8.2,8.3,8.4,87,上海市,121.4545897,31.24390594
海鲜, 闸北区,347,8.9,8.8,9,74,上海市,121.4545897,31.24390594
浙菜, 徐汇区,54,7,6.9,6.8,87,上海市,121.4545865,31.11775843
川菜, 徐汇区,154,6.6,6.5,6.5,64,上海市,121.4545865,31.11775843
快餐, 闸北区,15,7.2,7.4,7.3,27,上海市,121.4545729,31.25228415
西餐, 闸北区,39,7,7,7.1,25,上海市,121.4545729,31.25228415
快餐, 静安区,580,7.4,7.2,7.3,29,上海市,121.4545658,31.23063695
快餐, 静安区,4,7.4,7.1,6.9,30,上海市,121.4545658,31.23063695
甜点, 静安区,125,7.4,7.5,7.4,25,上海市,121.4545658,31.23063695
咖啡厅, 静安区,12,7.4,7.5,7.6,39,上海市,121.4545658,31.23063695
甜点, 闸北区,711,7,6.3,6.5,10,上海市,121.454562,31.2745335
浙菜, 卢湾区,10,7.3,7.4,7.1,74,上海市,121.4545637,31.21937023
快餐, 卢湾区,830,7.1,6.8,6.8,24,上海市,121.4545637,31.21937023
本菜, 卢湾区,4859,8.9,8.9,9.1,104,上海市,121.4545637,31.21937023
咖啡厅, 卢湾区,90,8.5,9.1,8.7,153,上海市,121.4545637,31.21937023
火锅, 徐汇区,20,6.9,6.7,6.8,33,上海市,121.4545645,31.19813448
粤菜, 闸北区,450,7.3,7.6,7,129,上海市,121.4545403,31.27032024
西餐, 卢湾区,5067,7.9,6.7,7.1,92,上海市,121.4545393,31.22345025
快餐, 闸北区,14,7.2,7.1,7.4,25,上海市,121.4545259,31.27451243
快餐, 闸北区,57,6.6,6.5,6.5,20,上海市,121.4545259,31.27451243
本菜, 闸北区,412,7.8,7.3,7.5,56,上海市,121.4545259,31.27451243
甜点, 闸北区,13,7,7.4,7.4,14,上海市,121.4545259,31.27451243
甜点, 静安区,398,7.6,7.5,7.4,66,上海市,121.4545116,31.23077576
甜点, 静安区,3210,7.2,7.2,7,39,上海市,121.4545116,31.23077576
快餐, 静安区,190,7.2,6.6,7.4,18,上海市,121.4545088,31.22806402
浙菜, 宝山区,65,6.9,6.9,6.9,53,上海市,121.4544854,31.3360344
川菜, 徐汇区,27,6.6,6.6,6.6,38,上海市,121.4544917,31.19419226
西餐, 静安区,1472,7,6.4,6.3,25,上海市,121.4544735,31.23081366
咖啡厅, 徐汇区,583,9,8.6,9,36,上海市,121.454473,31.21304603
本菜, 徐汇区,631,7.7,8.5,7.9,102,上海市,121.454463,31.21304201
川菜, 徐汇区,9,6.8,6.8,6.8,64,上海市,121.4544658,31.1220598
美食, 静安区,356,8.3,8.9,8.7,76,上海市,121.4544558,31.22616478
川菜, 宝山区,28,6.9,7,6.8,28,上海市,121.4544302,31.40671809
粤菜, 闸北区,21,6.9,6.5,6.7,75,上海市,121.4544302,31.25580526
快餐, 闸北区,36,7.5,7.4,7.5,22,上海市,121.4544302,31.25580526
海鲜, 闸北区,68,7.5,7,7.2,103,上海市,121.4544302,31.25580526
浙菜, 闵行区,377,7,7.1,7,86,上海市,121.4544485,31.04377394
快餐, 徐汇区,7,7.5,7.3,7.5,35,上海市,121.4544335,31.19410217
浙菜, 闵行区,64,7.1,7.6,7.4,59,上海市,121.4544362,31.03479113
本菜, 卢湾区,571,8.1,8.9,8.9,115,上海市,121.4544189,31.2246644
湘菜, 徐汇区,181,7.3,6.8,6.8,60,上海市,121.4544091,31.19840199
甜点, 闸北区,40,6.7,6.7,6.6,12,上海市,121.4544028,31.25909476
快餐, 静安区,16,7.2,7,7.1,3,上海市,121.4543991,31.23246872
快餐, 徐汇区,3,7.3,7.1,7.1,17,上海市,121.454403,31.11780498
北菜, 徐汇区,12,7,7,6.9,15,上海市,121.454403,31.11780498
北菜, 闸北区,4,7.2,7.2,7.2,50,上海市,121.454388,31.26882252
快餐, 闸北区,682,7.3,7.1,7.1,18,上海市,121.454388,31.26882252
快餐, 闸北区,124,6.4,6.3,6.3,16,上海市,121.454388,31.26882252
火锅, 静安区,3547,7.9,7.4,7.7,103,上海市,121.4543812,31.2308974
快餐, 闸北区,68,7.5,7.6,7.6,8,上海市,121.4543367,31.25908661
浙菜, 宝山区,111,7.1,6.7,6.9,63,上海市,121.4543189,31.33728257
快餐, 徐汇区,40,7.3,7.2,7.1,35,上海市,121.4543144,31.21500672
湘菜, 闵行区,55,7.2,7.3,7.4,66,上海市,121.4543231,31.04379663
快餐, 闸北区,146,7.2,6.9,6.8,15,上海市,121.4542756,31.31526853
快餐, 闸北区,40,7.1,7.1,7.1,15,上海市,121.4542756,31.31526853
烧烤, 闸北区,487,8.4,8.5,8,113,上海市,121.4542756,31.31526853
疆菜, 静安区,23,6.9,6.9,6.9,19,上海市,121.4542782,31.2282394
西餐, 徐汇区,122,7.4,7.1,7.1,54,上海市,121.4542663,31.21499562
甜点, 徐汇区,121,7.9,7.9,8.5,59,上海市,121.4542614,31.21293259
北菜, 闸北区,311,7.2,7.2,7.2,47,上海市,121.4542546,31.26914307
咖啡厅, 徐汇区,36,8.3,8.8,8.9,47,上海市,121.4542533,31.21466275
咖啡厅, 静安区,1672,8.4,7.8,8.2,36,上海市,121.4542468,31.23128491
快餐, 卢湾区,1589,7.3,6.6,7.1,19,上海市,121.4542416,31.22219015
快餐, 卢湾区,38,7.7,6.5,8.1,16,上海市,121.4542355,31.22260594
快餐, 静安区,240,7.4,7.2,7.3,21,上海市,121.4542336,31.23288214
龙虾, 闸北区,26,7.2,7,7.2,95,上海市,121.4542316,31.2560217
甜点, 静安区,240,7.3,7.3,7.3,14,上海市,121.454229,31.22824228
快餐, 静安区,306,7.6,7.6,7.5,26,上海市,121.4542256,31.23257826
快餐, 静安区,43,6.8,6.9,6.9,28,上海市,121.4542256,31.23257826
快餐, 静安区,239,8.4,7.5,8.6,12,上海市,121.4542227,31.2322594
快餐, 静安区,49,7.9,7,7.6,4,上海市,121.4542227,31.2322594
快餐, 静安区,155,7.1,6.3,6.8,13,上海市,121.4542227,31.2322594
粤菜, 静安区,1900,7.5,6.2,6.4,109,上海市,121.4542133,31.23638348
甜点, 杨浦区,11,7.2,7.2,7.4,9,上海市,121.4541918,31.21830487
甜点, 徐汇区,8,6.7,7,6.7,21,上海市,121.4541768,31.21706142
甜点, 卢湾区,84,6.4,6.5,6.5,16,上海市,121.4541768,31.21706142
浙菜, 闸北区,171,7.5,6.8,7.1,55,上海市,121.4541673,31.26888998
火锅, 闵行区,29,7.4,7,6.9,70,上海市,121.4541647,31.04385723
美食, 宝山区,6,7.5,7.4,7.5,20,上海市,121.4541383,31.33763303
川菜, 徐汇区,314,7.7,6.5,7.4,57,上海市,121.4541347,31.19430437
快餐, 徐汇区,37,6.9,6.4,6.8,7,上海市,121.4541272,31.21112815
快餐, 徐汇区,8,6.8,6.9,7.2,13,上海市,121.4541272,31.21112815
快餐, 闸北区,238,7.7,7.6,7.7,39,上海市,121.4541233,31.25584353
快餐, 闸北区,172,6.7,6.7,6.5,15,上海市,121.4541213,31.26735953
咖啡厅, 徐汇区,76,8,7.7,7.5,42,上海市,121.4541186,31.21821574
甜点, 徐汇区,447,7.5,7.8,7.7,31,上海市,121.4541186,31.21821574
甜点, 徐汇区,78,6.6,6.7,6.5,49,上海市,121.4541186,31.21821574
甜点, 徐汇区,565,7.7,7.7,7.9,50,上海市,121.4541186,31.21821574
咖啡厅, 徐汇区,1,6.9,6.9,6.9,59,上海市,121.4541186,31.21821574
甜点, 静安区,79,7.4,7.2,7.3,21,上海市,121.4540984,31.23084577
快餐, 静安区,23,7.1,7.1,7.1,70,上海市,121.454097,31.23631524
快餐, 徐汇区,335,7.1,7.4,7.3,48,上海市,121.4540835,31.21829962
快餐, 闸北区,587,7.4,7.3,7.3,25,上海市,121.454074,31.27018221
浙菜, 闸北区,363,8.2,8.2,7.7,62,上海市,121.454071,31.24703332
快餐, 闸北区,131,7.5,7.7,7.6,35,上海市,121.454071,31.24703332
西餐, 闸北区,459,8.2,8.8,8.3,84,上海市,121.454071,31.24703332
粤菜, 徐汇区,16793,8.2,8.2,7.8,84,上海市,121.4540714,31.21866642
北菜, 闸北区,13,6.3,6.4,5.9,55,上海市,121.4540572,31.25586037
西餐, 卢湾区,3215,8.3,8.9,8.6,117,上海市,121.4540459,31.22334615
快餐, 静安区,2894,7.8,7.5,7.8,8,上海市,121.4540453,31.23064974
甜点, 徐汇区,591,8.5,8.8,8.9,75,上海市,121.4540458,31.21289611
本菜, 闵行区,86,7.3,7.4,7.3,68,上海市,121.4540248,31.0376705
粤菜, 徐汇区,375,8.7,9.1,9,105,上海市,121.4540084,31.20503582
快餐, 闸北区,48,7.2,7.1,7.1,17,上海市,121.4539972,31.24142468
美食, 闸北区,3,6.6,6.6,6.6,19,上海市,121.4539972,31.24142468
烧烤, 闵行区,45,6.8,6.5,6.8,25,上海市,121.4540008,31.03765645
甜点, 徐汇区,1755,8.3,8.2,8.1,51,上海市,121.4539827,31.21284399
川菜, 闸北区,921,7.9,8.2,7.7,76,上海市,121.4539747,31.24720602
快餐, 静安区,116,7,6.7,6.7,16,上海市,121.4539646,31.23624497
西餐, 徐汇区,17,7.6,7.3,7.6,121,上海市,121.4539606,31.21283194
粤菜, 卢湾区,5163,7.8,7.8,7.7,79,上海市,121.4539269,31.22017637
西餐, 卢湾区,706,7.7,8.4,8.2,154,上海市,121.4539226,31.22312097
火锅, 闸北区,45,7.9,8,8.2,62,上海市,121.4539155,31.2586978
浙菜, 闵行区,101,7.4,7.4,7.4,70,上海市,121.453928,31.04367079
北菜, 闵行区,61,7.1,7.3,7.4,64,上海市,121.453928,31.04367079
川菜, 徐汇区,174,8,7.9,7.7,91,上海市,121.4539086,31.18823487
粤菜, 徐汇区,2231,7.3,7.2,7.5,89,上海市,121.453905,31.21769349
西餐, 徐汇区,177,8.2,8,7.9,69,上海市,121.453905,31.21769349
甜点, 徐汇区,1544,8.2,8,7.6,57,上海市,121.453905,31.21769349
甜点, 徐汇区,536,8,7.6,7.9,41,上海市,121.453905,31.21769349
甜点, 徐汇区,525,7.8,7.6,7.5,82,上海市,121.453905,31.21769349
海鲜, 黄浦区,34,7.9,7.7,7.5,72,上海市,121.453905,31.21769349
粤菜, 徐汇区,301,7.4,7.4,7.5,81,上海市,121.453905,31.21769349
甜点, 徐汇区,212,8,8.1,7.8,77,上海市,121.453905,31.21769349
甜点, 徐汇区,202,7.3,7.4,7.4,35,上海市,121.453905,31.21769349
甜点, 徐汇区,38,7,7,6.9,68,上海市,121.453905,31.21769349
咖啡厅, 徐汇区,4425,7.9,8.3,8,64,上海市,121.453905,31.21769349
咖啡厅, 徐汇区,514,7.7,7.8,7.7,41,上海市,121.453905,31.21769349
西餐, 徐汇区,84,8.3,7.7,8.5,130,上海市,121.453905,31.21769349
咖啡厅, 徐汇区,1897,8.8,8.8,9.1,79,上海市,121.4538994,31.2130357
甜点, 宝山区,4,7,7,7,38,上海市,121.4538836,31.33806229
快餐, 闸北区,147,7.9,7.7,7.7,23,上海市,121.4538784,31.25901557
浙菜, 徐汇区,232,7.7,8.8,8.5,79,上海市,121.4538794,31.21265084
西餐, 徐汇区,16,7.2,7.5,7.3,55,上海市,121.4538794,31.21265084
川菜, 闸北区,85,7.3,7.2,7.3,33,上海市,121.4538658,31.24174823
咖啡厅, 卢湾区,721,8.3,8.4,8.8,58,上海市,121.4538666,31.22096485
快餐, 静安区,214,7.3,7.3,7.2,85,上海市,121.4538657,31.23142596
快餐, 闸北区,45,7.2,7.2,7.2,16,上海市,121.453862,31.27415603
本菜, 徐汇区,291,7.2,6.9,7.4,64,上海市,121.4538623,31.21280273
浙菜, 卢湾区,3239,6.7,5.1,5.2,86,上海市,121.4538577,31.22030415
烧烤, 闸北区,1288,8.6,8.5,8.6,95,上海市,121.4538524,31.26949299
甜点, 徐汇区,3241,7.7,7.4,7.5,39,上海市,121.4538615,31.11771377
西餐, 徐汇区,342,8.7,8.4,8.9,68,上海市,121.4538493,31.21281069
咖啡厅, 徐汇区,4301,7.9,8.6,8.4,87,上海市,121.4538466,31.2203381
甜点, 闸北区,672,7.5,7.6,7.7,8,上海市,121.453838,31.27415198
甜点, 闸北区,11,6.9,6.7,6.8,3,上海市,121.453838,31.27415198
快餐, 闸北区,134,7.4,8.1,7.6,13,上海市,121.4538394,31.24625713
本菜, 闸北区,793,8.7,8.7,8.6,101,上海市,121.4538394,31.24625713
湘菜, 闸北区,6,6.8,6.8,6.8,22,上海市,121.4538213,31.26966884
快餐, 闸北区,37,7.6,7.5,7.6,23,上海市,121.4538213,31.26966884
快餐, 徐汇区,59,7.6,7.6,7.7,40,上海市,121.4538238,31.19417072
川菜, 徐汇区,113,7.3,7,6.9,52,上海市,121.453819,31.21491862
本菜, 静安区,757,8.4,8.4,8.5,97,上海市,121.4538108,31.22837425
咖啡厅, 徐汇区,29,7.1,7.6,7.4,29,上海市,121.4538109,31.20488143
快餐, 闸北区,100,7,7.3,6.7,37,上海市,121.4537806,31.29970241
西餐, 卢湾区,99,7.3,7.6,7.5,133,上海市,121.4537814,31.22052487
咖啡厅, 卢湾区,438,8.5,8.9,8.5,87,上海市,121.4537814,31.22052487
西餐, 闵行区,113,7.4,7.4,7.5,71,上海市,121.4537969,31.0415797
本菜, 闸北区,290,7.4,8.3,7.7,114,上海市,121.4537761,31.24705463
浙菜, 闸北区,34,7.7,7.7,7.7,83,上海市,121.453768,31.28274223
浙菜, 徐汇区,96,7.1,7,7,19,上海市,121.4537723,31.19861741
快餐, 徐汇区,406,7.1,7.3,7.1,25,上海市,121.4537712,31.21103037
甜点, 卢湾区,32,7.4,7,7.5,49,上海市,121.4537541,31.2232815
浙菜, 徐汇区,983,7.9,7.5,7.1,98,上海市,121.4537465,31.21860769
快餐, 徐汇区,721,7.1,7,6.9,28,上海市,121.4537465,31.21860769
本菜, 徐汇区,785,9.1,8.8,9,164,上海市,121.4537465,31.21860769
