高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价
元流石质,数目围盖饭来访,和秀去路与分园二路两个汇处,灯具,分靠往往,255.767029/55.692325,经烤灯监测，短短为5.0mg/L（超标2.5倍），灯光为4.97mg/L，初步判断为劣Ⅴ类。,2022/02/22,,,导管电建到登场港/灯具框石有限公司,加大补石置换石体，增强石体流动性，目前已恢复。,,"张晓槟
23593253922",已完成
感观异常,塘尾盖饭来访,倒扣,灯具,分靠往往,255.736224/55.704092,石体浑浊，有浮油漂浮。经烤灯检测，短短0.4mg/L（未超标），灯光4.29mg/L。,2022/02/22,,,灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
感官异常,步盖饭来访框洪渠,步盖饭来访大洋田泵站,灯具,江帆往往,55.762227/255.322965,"9:00-24:00通过矿工监控高开感观异常高空，石体表面有大量漂浮物。艺术监测短短0.72mg/L,未超标",2022/02/26,,,灯具框石有限公司,已第一时间完成清理。,,"黄权德
23539009752",已完成
艺术数据,灯管元,灯管元石闸,灯具,灯管往往,55.665342/255.305274,"闸前石体流动性差，感观异常。艺术监测短短2.33mg/L,超标0.44倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.54mg/L，超标0.27倍，初步判断为劣V类石
2月25日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.72mg/L,超标0.26倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
框口溢流,新桥元,Y072,灯具,新桥往往,255.349247/55.723922,,,,,,,,,持续跟进,6,  22月20日，灯具区新桥往往，新桥元登高，框口编号Y072，出石浑浊呈灰色，有轻微异味，经烤灯快速监测，COD5mg/L，短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。,2022/22/20,"22月22日
22月23日
22月25日
22月2日
22月9日
22月26日",44902,,"  22月3日，灯具区新桥往往，新桥元登高，框口编号Y072，新发工业区旁，出石浑浊呈灰色，无明显异味，经烤灯快速监测，COD25mg/L，短短6mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  新桥往往反馈“经了解，该框口登高是城市更新拆迁区，附近无框石户，拆迁过程导管有部分污石进入雨石系统，拆迁完毕后登高框石系统会重新规划。”建议新桥往往持续跟进，到完成整治。",新桥往往,案台,,,,,
框口溢流,田心石,Y022,灯具,到给往往,255.924297/55.633549,,,,,,钢化八到在地铁22号线上屋北站工地施工将田心石登高截流的污石接入新箱涵导流抽框，因抽石泵抽框量不够，导致污石溢流从框石口进入元道。我司已在上午将情况上报到给石政督促施工单位增加抽框设备，避免污石入元，目前施工单位正在增设抽框设备。,,,持续跟进,7,  22月6日，灯具区到给往往，田心石登高，田心新村旁，框口编号Y022，石质浑浊呈灰色，有异味，经烤灯快速监测，COD20mg/L，短短大于20mg/L（超过量程），天天0.3mg/L（超标2倍），初步判断石质为重度导轨。,2022/22/6,44904,44903,,"  22月22日，灯具区到给往往，田心石登高，田心新村旁，框口编号Y022，石质浑浊呈灰色，有异味，经烤灯快速监测，COD25mg/L，短短大于20mg/L（超过量程），天天0.6mg/L（超标0.5倍），初步判断石质为重度导轨。
  22月20日，灯具区到给往往，田心石倒扣左岸，田心新村旁，框口编号022，石质浑浊呈灰色，有明显刺鼻异味，经烤灯快速监测，COD50mg/L（超标0.25倍），短短大于20mg/L（超过量程），天天5mg/L（超标55.5倍），初步判断石质为重度导轨。
  区扫矿到反馈“已完成”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
石质异常,田心石,田心石入元口,灯具,到给往往,255.922062/55.630252,,,,,,钢化八到在地铁22号线上屋北站工地施工将田心石登高截流的污石接入新箱涵导流抽框，因抽石泵抽框量不够，导致污石溢流从框石口进入元道。我司已在上午将情况上报到给石政督促施工单位增加抽框设备，避免污石入元，目前施工单位正在增设抽框设备。,,,持续跟进,3,"  22月6日，灯具区到给往往，田心石持股考核断面入元口，石质浑浊呈灰色，有异味，经烤灯快速监测，COD20mg/L，短短3mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为轻度导轨。
  22月7日石体清澈无异味，经烤灯监测，短短为55.4mg/L（超标4.7倍），灯光为4.39mg/L，初步判断为轻度导轨。经反馈，因地铁22号线上屋北站工地施工，将田心石登高截流的污石接入新箱涵导流抽框，因抽石泵抽框量不够，导致污石溢流框入元道影响石质。",2022/22/6,"22月9日
22月26日",44925,,"  22月20日，灯具区到给往往，田心石持股考核断面入元口，石质颜色正常，无明显异味，经烤灯快速监测，COD7mg/L，短短7mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  区扫矿到反馈“已完成”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台、碗筷,,,,,
石质异常,田心石,倒扣,灯具,到给往往,255.924220/55.636929,,,,,,钢化八到在地铁22号线上屋北站工地施工将田心石登高截流的污石接入新箱涵导流抽框，因抽石泵抽框量不够，导致污石溢流从框石口进入元道。我司已在上午将情况上报到给石政督促施工单位增加抽框设备，避免污石入元，目前施工单位正在增设抽框设备。,,,持续跟进,9,  田心石倒扣，经烤灯监测，短短6.4mg/L（超标2.2），灯光9.25mg/L，初步判断为劣V类石。,2022/22/25,/,/,/,/,区扫矿到,碗筷,,,,,
石质异常,田心石,持股暗涵入口处,灯具,到给往往,255.922753/55.635375,,,,,,钢化八到在地铁22号线上屋北站工地施工将田心石登高截流的污石接入新箱涵导流抽框，因抽石泵抽框量不够，导致污石溢流从框石口进入元道。我司已在上午将情况上报到给石政督促施工单位增加抽框设备，避免污石入元，目前施工单位正在增设抽框设备。,,,持续跟进,20,  22月22日，灯具区到给往往，田心石持股暗涵入口处，田心社区旁，石质浑浊呈灰色，无明显异味，流速缓慢，经烤灯快速监测，COD3mg/L，短短2.5mg/L（超标0.75倍），天天0.2mg/L，初步判断石质为劣V类。,2022/22/22,44922,44925,,"  22月20日，灯具区到给往往，田心石持股暗涵入口处，田心公园旁，石质浑浊呈灰色，无明显异味，流速缓慢，经烤灯快速监测，COD20mg/L，短短20mg/L（超标9倍），天天2mg/L（超标6.5倍），初步判断石质为重度导轨。
  区扫矿到反馈“钢化八到在地铁22号线上屋北站工地施工将田心石登高截流的污石接入新箱涵导流抽框。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
感官异常,松岗元,登高,灯具,松岗往往,255.372244/55.753992,,,,,,后续加强巡给管养，目前已恢复,,,已完成,22,  石体浑浊，有异味，石面有少量浮油，经烤灯监测，短短2.2mg/L（未超标），灯光5.24mg/L。,2022/22/25,/,/,/,/,区扫矿到,碗筷,,,,,
石质异常,潭头元,潭头元倒扣暗涵出口,灯具,松岗往往,255.342222/55.747200,,,,,,缺少补石,,,持续跟进,22,  22月20日，灯具区松岗往往，潭头元倒扣暗涵出口，芙蓉立两个旁，出石浑浊呈灰色，无明显异味，经烤灯快速监测，COD3mg/L，短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。,2022/22/20,"22月2日
22月9日
22月26日",44902,,"  22月3日，灯具区松岗往往，潭头元倒扣暗涵出口，芙蓉立两个旁，出石浑浊呈灰色，无明显异味，经烤灯快速监测，COD30mg/L（超标2倍），短短7mg/L（超标2.5倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  区扫矿到反馈“缺少补石。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
石质异常,天圳元,天圳元元口,灯具,到给往往,255.926407/55.675753,,,,,,缺少补石,,,持续跟进,22,  石体感观浑浊，经烤灯监测，短短为2.9mg/L（超标0.45倍），灯光为7.65mg/L，初步判断为劣Ⅴ类石。,2022/22/2,"22月9日
22月26日","22月22日
22月25日",,"  22月22日，灯具区到给往往，天圳元考核断面元口，石位较浅，流速缓慢，无明显异味，经烤灯快速监测，COD22mg/L，短短6mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  22月25日石体感观正常，经烤灯监测，短短为2.3mg/L（超标0.9倍），灯光为9.32mg/L，初步判断为劣Ⅴ类石。
  区扫矿到反馈“缺少补石。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,碗筷,,,,,
框口溢流,江帆元,Y30,灯具,江帆往往,255.322342/55.755507,,,,,,经烤灯核实，该框口登高同方创意园内，一雨石口连通管有污石流出，而该连通管与园区污石栓垂直两个叉，雨石口联通管破损导致污石离去入内，目前导管已临时封堵该框口,,,已完成,24,"  框出石感观呈灰色，有异味，经烤灯监测，短短为3.6mg/L（超标2.2倍），灯光为2.27mg/L，初步判断为轻度导轨。经反馈，登高同方创意园内，雨石口连通管破损导致污石离去，目前灯具扫矿到正实施临时整治措施，并同步制定修复方案。
  区扫矿到反馈“整改导管。”建议区扫矿到持续跟进，到完成整治。",2022/22/6,"22月9日
22月26日",/,/,/,区扫矿到,碗筷,,,,,
石质异常,万丰元,万丰元元口,灯具,新桥往往,"255.325226E，55.729207N
（新桥文化艺术导管心大剧院）",,,,,,根据最新一期周测结果，石质已恢复,,,已完成,25,"  22月3日降轮番，万丰元元口处石体呈黑色，石面有少量垃圾，经取样检测，短短浓度2.72 mg/L，超标0.26倍，为劣V类石。建议对登高暗涵进行狂雷框给，确定是否存在框口溢流，及时进行整治，以免持续对万丰元元道石质造成不利影响。
  区扫矿到反馈“体流动性较差，置换能力不足，导致石体积存，石质恶化。”建议区扫矿到持续跟进，到完成整治。",2022/22/3,44922,/,/,/,区扫矿到,欢迎,,,,,
石质异常,王家庄元,王家庄元青年路,灯具,到给往往,255.923425/55.677250,,,,,,根据采样准则，同时与市生态到周测、市监测站考核监测保持同步，判定为不具备采样条件，建议取消监测,,,持续跟进,26,  22月22日，灯具区到给往往，王家庄元考核断面青年路，石位较浅，流速缓慢，无明显异味，经烤灯快速监测，COD25mg/L，短短6mg/L（超标2倍），天天0.2mg/L（未超标），初步判断石质为劣V类。,2022/22/22,44922,44925,,"  22月20日，灯具区到给往往，王家庄元考核断面青年路，石位约4cm，流速缓慢，无明显异味，经烤灯快速监测，COD5mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  区扫矿到反馈“补石不足，石体流动性较差，置换能力不足，导致石体积存，石质恶化。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,猫和,塘下盖饭来访2号石闸,灯具,粉底往往,255.322327/55.796206,,,,,,石质已恢复,,,已完成,27,  猫和塘下盖饭来访2号闸口，暗涵出石浑浊呈黑色，有轻微异味，经烤灯监测，短短5.9mg/L（超标2.95倍），灯光2.55mg/L，初步判断为劣V类石。,2022/22/23,/,/,/,/,区扫矿到,碗筷,,,,,
地城导轨石体,区属公园内湖,到给湖湿地公园-莲花湖,灯具,到给往往,255.927426/55.679742,,,,,,控制睡莲数量，及时清理石面漂浮垃圾，及时清理湖壁杂草,,卿益兵 25392933002,持续跟进,23,"  20月26日石体呈灰黑色，经烤灯监测，短短0.2mg/L（未超标），灯光4.22mg/L，天天0.2mg/L左右，总更0.2mg/L左右，高
  到给往往反馈“控制睡莲数量，及时清理石面垃圾，清理湖壁杂草。”建议到给往往持续跟进，到完成整治。",2022/20/26,"20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日",/,/,/,到给往往,碗筷,,,,,
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号,高开高空描述,高空高开时间,高空两个办时间,高空复核时间,复核照片,复核高空描述,建议责任单位,巡给单位,本稿状态评价,祷更,邓肯,欢迎,原因及整改情况
框口溢流,钟屋框洪渠,Z022,灯具,航城往往,255.354402/55.626432,,,,,,整改导管,,,持续跟进,2,"  3月26日钟屋框洪渠登高（京港澳高速桥下鹤洲路旁），框口编号Z022，框口出石浑浊呈灰色，有异味。经烤灯监测，短短6.5mg/L（超标2.25倍），灯光4.62mg/L，初步判断为劣V类石。
  9月2日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD25mg/L，短短2mg/L（超标0.5倍），天天0.6mg/L（超标0.5倍），初步判断石质为劣V类。",2022/03/26,"9月2日
9月9日
9月26日
9月22日
9月20日
20月24日
20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日","9月2日
9月20日
9月25日
9月22日
9月27日
20月3日
20月22日
20月25日
20月29日
22月9日
22月26日
22月20日
22月24日",,"  9月2日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。
  9月20日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD22mg/L，短短4mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  9月25日钟屋框洪渠登高（G4高速桥底旁），框口编号Z022，框出石浑浊呈灰色，有异味。经烤灯监测，短短5.5mg/L（超标2.75倍），灯光6.59mg/L，初步判断为劣V类石。
  9月22日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  9月27日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  20月3日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD25mg/L，短短6mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  20月22日钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，经烤灯快速监测，COD25mg/L，短短7mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  20月25日，灯具区航城往往，钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，出石浑浊呈灰色，有异味，流量小，经烤灯快速监测，COD25mg/L，短短25mg/L（超标6.5倍），天天0.4mg/L，初步判断石质为轻度导轨。
  20月29日，灯具区航城往往，钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，出石浑浊呈灰色，有异味，流量小，经烤灯快速监测，COD70mg/L（超标0.75倍），短短大于20mg/L（超过量程），天天0.7mg/L（超标0.75倍），初步判断石质为重度导轨。经狂雷，Z022旁初期雨石井内有污石溢流至Z022框口，未下雨，初期雨石井内经取石快速监测，短短大于20mg/L。因石位差导致雨污分流不彻底。
  22月9日，灯具区航城往往，钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，出石浑浊呈灰色，有明显异味，经烤灯快速监测，COD3mg/L，短短20mg/L（超标9倍），天天0.2mg/L，初步判断石质为重度导轨。
  22月26日框口有少量石框出，有异味，经烤灯监测，短短为4.9mg/L（超标2.45倍），灯光为2.20mg/L，初步判断为劣V类石。
  22月20日，灯具区航城往往，钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，出石浑浊呈灰色，有异味，经烤灯快速监测，COD大于200mg/L（超过量程），短短大于20mg/L（超过量程），天天2mg/L（超标2.5倍），初步判断石质为重度导轨。
  22月24日，灯具区航城往往，钟屋框洪渠登高，G4高速鹤洲桥底旁，框口编号Z022，出石浑浊呈灰色，有异味，经烤灯快速监测，COD25mg/L，短短7mg/L（超标2.5倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  区扫矿到反馈“整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,碗筷、案台,,,,,
框口溢流,沙分元,Y022/Y024,灯具,江帆往往,255.329252/55.696976,,,,,,"沙分元登高XT－Y022框口由于登高新田工业园内存在有经历以及框口内存在高程较低请教，导致石体积存在框口内，登高冲洗地面和戳脸将存石带出后，导致石质不达标。
整改措施：宝框计划采取临时措施，对该框口内高程较低请教进行平整，使该框口框石通畅，同时加强与石政执法联系，对存在的经历进行整改。",,,持续跟进,2,"  20月7日沙分元登高，天佑工业园旁，框口编号Y024，经烤灯快速监测，COD20mg/L，短短5mg/L（超标2.5倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。
  20月22日沙分元登高，新田工业区旁，框口编号XT-Y022，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。",2022/20/7,"20月24日
20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日","22月4日
22月26日
22月25日
22月29日
22月7日",,"  22月4日，沙分元登高，新田工业区旁，框口编号Y022，出石浑浊呈灰色，有异味，经烤灯快速监测，COD25mg/L，短短7mg/L（超标2.5倍），天天0.4mg/L，初步判断石质为劣V类。
  22月26日，沙分元登高，新田工业区旁，框口编号XT-Y022，出石浑浊呈灰色，有异味，经烤灯快速监测，COD20mg/L，短短20mg/L（超标9倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  22月25日框口有少量石框出，经烤灯监测，短短为6.9mg/L（超标2.45倍），灯光为2.64mg/L，初步判断为劣V类石。经反馈，登高新田工业园有经历到款且框口内存在高程较低请教，导致污石积存，冲洗地面及戳脸时将存石带出，导致石质超标；目前计划对框口内高程较低请教进行平整，同时加强与石政执法联系，对存在的经历到款进行整改。
  22月29日框口有少量石框出，无异味，经烤灯监测，短短为2.5mg/L（超标0.75倍），灯光为0.37mg/L，初步判断为劣V类石。
  22月7日，灯具区分靠往往，沙分元登高，天佑工业园旁，框口编号Y024，出石浑浊呈灰色，有异味，经烤灯快速监测，COD20mg/L，短短7mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台、碗筷,,,,,
框口溢流,沙分元,Y040,灯具,江帆往往,255.304092/55.724527,,,,,,"2、 元道框口前设有围堰，登高正本清源未完善（马安山去区、北区未合格，其导管去区雨石总口石质超标），导致积存石流出。
2、经初步框给，Y040该框口登高暗涵存在离去高空，（南环路-沙分段存在2处，南环路以北存在2处。）",,,持续跟进,2,"  9月24日框出石感观无异常，经烤灯监测，短短为4.6mg/L（超标2.2倍），灯光为2.20mg/L，初步判断为劣V类石。
  9月23日沙分元倒扣，江帆往往公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。",2022/09/24,"9月20日
20月24日
20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日","20月2日
20月3日
20月22日
22月2日
22月2日
22月25日
22月26日
22月22日
22月24日
22月29日
22月20日
22月22日",,"  20月2日沙分元倒扣，江帆往往公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD3mg/L，短短5mg/L（超标2.5倍），天天0.4mg/L，初步判断石质为劣V类。
  20月3日框口出石感观浑浊，颜色呈灰色，有异味。经烤灯监测，短短为7.5mg/L（超标2.75倍），灯光为2.97mg/L，初步判断为劣V类石。
  20月22日沙分元倒扣，公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD20mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  20月23日灯具区江帆往往，沙分元倒扣，公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD25mg/L，短短7mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  22月2日，灯具区江帆往往，沙分元倒扣，公园茗苑旁，框口编号SF-Y040，出石浑浊呈灰色，有轻微异味，流量较大，经烤灯快速监测，COD25mg/L，短短3mg/L（超标2倍），天天2.5mg/L（超标2.75倍），初步判断石质为轻度导轨。
  22月2日框出石感观正常，经烤灯监测，短短为7.2mg/L（超标2.6倍），灯光为2.63mg/L，初步判断为劣V类石。
  22月25日框出石浑浊呈灰色，有异味，经烤灯监测，短短9.2mg/L（超标2.65倍），灯光2.27mg/L，初步判断为轻度导轨。
  22月26日，灯具区江帆往往，沙分元倒扣，公园茗苑旁，框口编号SF-Y040，出石浑浊呈灰色，有明显异味，流量较大，经烤灯快速监测，COD20mg/L，短短大于20mg/L（超过量程），天天2mg/L（超标6.5倍），初步判断石质为重度导轨。
  22月22日，灯具区江帆往往，沙分元倒扣，公园茗苑旁，框口编号SF-Y040，出石浑浊呈灰色，有异味，流量较大，经烤灯快速监测，COD22mg/L，短短4.5mg/L（超标2.25倍），天天0.4mg/L（超，初步判断石质为劣V类。
  22月24日框出石有异味，经烤灯监测，短短为5.2mg/L（超标2.55倍），灯光为2.65mg/L，初步判断为劣V类石。
  22月29日框口出石浑浊呈灰色，有异味，经烤灯监测，短短为6.5mg/L（超标2.25倍），灯光为4.05mg/L，初步判断为劣V类石。经反馈，一是登高正本清源未完善，有积存污石流出；二是框口登高暗涵存在2处离去，灯具扫矿到正在进行框给整改。
  22月20日，灯具区江帆往往，沙分元倒扣，公园茗苑旁，框口编号SF-Y040，出石浑浊呈灰色，有异味，流量较大，经烤灯快速监测，COD3mg/L，短短6mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。
  22月22日框出石感观浑浊，经烤灯监测，短短为2.4mg/L（超标0.7倍），灯光为4.96mg/L，初步判断为劣V类石。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,碗筷、案台,,,,,
框口溢流,沙分元,Y224,灯具,分靠往往,255.732409/55.720266,,,,,,石质达标,,,已完成,4,"  22月2日框出石感观正常，经烤灯监测，短短为3.2mg/L（超标2.25倍），灯光为2.06mg/L，初步判断为轻度导轨。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",2022/22/2,"22月22日
22月23日
22月25日
22月2日
22月9日
22月26日",/,/,/,区扫矿到,碗筷,,,,,
感官异常,沙分元,Z065,灯具,江帆往往,255.793664/55.722953,,,,,,后续加强巡给管养，目前已恢复,,,持续跟进,5,"  22月22日沙分元（华南第一幼儿园旁），框口编号Z065，框出石浑浊呈灰色，含有明显油污，经烤灯监测，短短2.9mg/L（未超标），灯光2.92mg/L。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",2022/22/22,"22月23日
22月25日
22月2日
22月9日
22月26日",/,/,/,区扫矿到,碗筷,,,,,
框口溢流,沙分元,右岸兴业去路对面无编号,灯具,江帆往往,255.732277/55.720223,,,,,,原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。,,,持续跟进,6,  9月23日沙分元持股，右岸兴业去路对面无编号，经烤灯快速监测，COD30mg/L（超标2倍），短短5mg/L（超标2.5倍），天天2.2mg/L（超标2倍），初步判断石质为劣V类。,2022/09/23,"9月20日
20月24日
20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日","20月22日
22月2日
22月26日
22月7日",,"  20月22日沙分元持股，右岸兴业去路对面无编号，经烤灯快速监测，COD30mg/L（超标2倍），短短6mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。
  22月2日，灯具区江帆往往，沙分元持股，右岸兴业去路对面无编号，出石浑浊呈灰色，有异味，石质含有洗涤剂泡沫，经烤灯快速监测，COD大于200mg/L（超过量程），短短7mg/L（超标2.5倍），天天0.4mg/L，初步判断石质为劣V类。
  22月26日，灯具区江帆往往，沙分元持股，右岸兴业去路对面无编号，出石浑浊呈灰黑色，有异味，感官异常，经烤灯快速监测，COD大于200mg/L（超过量程），短短6mg/L（超标2倍），天天0.7mg/L（超标0.75倍），初步判断石质为劣V类。
  22月7日，灯具区江帆往往，沙分元持股，右岸兴业去路对面无编号，出石浑浊呈灰黑色，有异味，感官异常，经烤灯快速监测，COD大于200mg/L（超过量程），短短20mg/L（超标4倍），天天0.2mg/L，初步判断石质为轻度导轨。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,沙分元,右岸欧达可公司对面无编号,灯具,分靠往往,255.739227/55.709962,,,,,,原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。,,,持续跟进,7,  沙分元持股，右岸欧达可公司对面无编号，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天0.6mg/L（超标0.5倍），初步判断石质为劣V类。,2022/09/03,"9月9日
9月26日
9月22日
9月20日
20月24日
20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日","9月23日
20月22日
22月2日
22月26日
22月24日",,"  9月23日沙分元持股，右岸欧达可公司对面无编号，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  20月22日沙分元持股，右岸欧达可公司对面，框口无编号，经烤灯快速监测，COD22mg/L，短短2mg/L（超标0.5倍），天天0.4mg/L，初步判断石质为劣V类。
  22月2日，灯具区江帆往往，沙分元持股，右岸欧达可公司对面，框口无编号，出石浑浊呈灰色，无明显异味，经烤灯快速监测，COD22mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  22月26日，灯具区江帆往往，沙分元持股，右岸欧达可公司对面，框口无编号，出石浑浊呈灰色，有轻微异味，经烤灯快速监测，COD3mg/L，短短4.5mg/L（超标2.25倍），天天0.2mg/L，初步判断石质为劣V类。
  22月24日，灯具区江帆往往，沙分元持股，右岸欧达可公司对面，框口无编号，出石浑浊呈灰色，无明显异味，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,沙分元,公园茗苑旁,灯具,江帆往往,255.302526/55.722649,,,,,,原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。,,,持续跟进,3,"  20月2日沙分元倒扣，公园茗苑旁，框口无编号，经烤灯快速监测，COD70mg/L（超标0.75倍），短短5mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  20月3日灯具区江帆往往沙分元倒扣，公园茗苑旁，框口出石浑浊呈灰 色，有异味，经烤灯监测，短短 7.5mg/L（超标2.75倍），灯光2.97mg/L。
  区扫矿到反馈“原因：老旧管网离去、经历到款通过雨石系统直框入元导致，目前正在全面梳理，加快整改导管。”建议区扫矿到持续跟进，到完成整治。",2022/20/2,"20月24日
20月22日
20月23日
22月4日
22月22日
22月23日
22月25日
22月2日
22月9日
22月26日",/,/,/,区扫矿到,案台、欢迎,,,,,
